Date,Observation,fit 1,fit 2,fit 3,fit 4,fit 5,fit 6,fit 7,fit 8,fit 9,fit 10
"Jan 1, 1985",,,,,,,,,,,
"Jan 22, 1985",,,,,,,,,,,
"Feb 6, 1985",,,,,,,,,,,
"Mar 15, 1985",,,,,,,,,,,
"Apr 20, 1985",,,,,,,,,,,
"May 14, 1985",-0.107,,,,,,,,,,
"May 27, 1985",,-0.108,,,,,,,,,
"Jun 15, 1985",-0.187,-0.112,,,,,,,,,
"Jul 1, 1985",-0.238,-0.116,,,,,,,,,
"Jul 2, 1985",,-0.117,,,,,,,,,
"Jul 17, 1985",-0.211,-0.122,,,,,,,,,
"Aug 2, 1985",-0.023,-0.128,,,,,,,,,
"Aug 8, 1985",,-0.131,,,,,,,,,
"Aug 18, 1985",0.007,-0.135,,,,,,,,,
"Sep 13, 1985",,-0.144,,,,,,,,,
"Oct 5, 1985",-0.177,-0.143,,,,,,,,,
"Oct 20, 1985",,-0.138,,,,,,,,,
"Oct 21, 1985",-0.205,-0.137,,,,,,,,,
"Nov 6, 1985",-0.149,-0.126,,,,,,,,,
"Nov 25, 1985",,-0.111,,,,,,,,,
"Dec 8, 1985",-0.065,-0.1,,,,,,,,,
"Jan 1, 1986",,-0.084,,,,,,,,,
"Jan 9, 1986",,-0.08,,,,,,,,,
"Jan 25, 1986",-0.048,-0.076,,,,,,,,,
"Feb 6, 1986",,-0.076,,,,,,,,,
"Feb 10, 1986",-0.045,-0.076,,,,,,,,,
"Feb 26, 1986",,-0.079,,,,,,,,,
"Mar 14, 1986",,-0.084,,,,,,,,,
"Mar 15, 1986",,-0.084,,,,,,,,,
"Mar 30, 1986",-0.055,-0.091,,,,,,,,,
"Apr 15, 1986",,-0.097,,,,,,,,,
"Apr 20, 1986",,-0.098,,,,,,,,,
"May 1, 1986",,-0.102,,,,,,,,,
"May 17, 1986",-0.121,-0.106,,,,,,,,,
"May 27, 1986",,-0.108,,,,,,,,,
"Jun 2, 1986",-0.237,-0.109,,,,,,,,,
"Jun 18, 1986",-0.12,-0.112,,,,,,,,,
"Jul 2, 1986",,-0.116,,,,,,,,,
"Jul 4, 1986",-0.187,-0.117,,,,,,,,,
"Jul 20, 1986",-0.167,-0.122,,,,,,,,,
"Aug 5, 1986",-0.168,-0.129,,,,,,,,,
"Aug 8, 1986",,-0.13,,,,,,,,,
"Aug 21, 1986",-0.099,-0.136,,,,,,,,,
"Sep 6, 1986",-0.155,-0.142,,,,,,,,,
"Sep 13, 1986",,-0.143,,,,,,,,,
"Sep 22, 1986",-0.146,-0.144,,,,,,,,,
"Oct 8, 1986",-0.113,-0.142,,,,,,,,,
"Oct 20, 1986",,-0.137,,,,,,,,,
"Oct 24, 1986",-0.102,-0.135,,,,,,,,,
"Nov 9, 1986",-0.156,-0.124,,,,,,,,,
"Nov 25, 1986",,-0.111,,,,,,,,,
"Nov 25, 1986",-0.094,-0.11,,,,,,,,,
"Dec 27, 1986",,-0.086,,,,,,,,,
"Jan 1, 1987",,-0.084,,,,,,,,,
"Jan 12, 1987",,-0.079,,,,,,,,,
"Feb 4, 1987",-0.084,-0.075,,,,,,,,,
"Feb 6, 1987",,-0.075,,,,,,,,,
"Mar 1, 1987",-0.177,-0.079,,,,,,,,,
"Mar 15, 1987",,-0.084,,,,,,,,,
"Apr 2, 1987",,-0.091,,,,,,,,,
"Apr 18, 1987",-0.125,-0.097,,,,,,,,,
"Apr 20, 1987",,-0.098,,,,,,,,,
"May 4, 1987",-0.178,-0.102,,,,,,,,,
"May 27, 1987",,-0.107,,,,,,,,,
"Jun 5, 1987",,-0.109,,,,,,,,,
"Jun 21, 1987",-0.127,-0.113,,,,,,,,,
"Jul 2, 1987",,-0.115,,,,,,,,,
"Jul 7, 1987",-0.141,-0.117,,,,,,,,,
"Jul 14, 1987",-0.171,-0.119,,,,,,,,,
"Jul 23, 1987",-0.192,-0.123,,,,,,,,,
"Jul 30, 1987",-0.182,-0.126,,,,,,,,,
"Aug 8, 1987",,-0.129,,,,,,,,,
"Aug 8, 1987",-0.093,-0.13,,,,,,,,,
"Aug 24, 1987",-0.136,-0.137,,,,,,,,,
"Sep 13, 1987",,-0.142,,,,,,,,,
"Sep 25, 1987",-0.156,-0.143,,,,,,,,,
"Oct 11, 1987",-0.119,-0.14,,,,,,,,,
"Oct 20, 1987",,-0.137,,,,,,,,,
"Nov 25, 1987",,-0.11,,,,,,,,,
"Jan 1, 1988",,-0.083,,,,,,,,,
"Feb 6, 1988",,-0.075,,,,,,,,,
"Mar 14, 1988",,-0.083,,,,,,,,,
"Mar 19, 1988",-0.112,-0.085,,,,,,,,,
"Apr 4, 1988",-0.081,-0.092,,,,,,,,,
"Apr 19, 1988",,-0.097,,,,,,,,,
"May 22, 1988",-0.172,-0.106,,,,,,,,,
"May 26, 1988",,-0.107,,,,,,,,,
"Jun 7, 1988",-0.138,-0.109,,,,,,,,,
"Jun 23, 1988",,-0.113,,,,,,,,,
"Jul 2, 1988",,-0.115,,,,,,,,,
"Jul 9, 1988",-0.148,-0.117,,,,,,,,,
"Jul 25, 1988",-0.066,-0.123,,,,,,,,,
"Aug 7, 1988",,-0.129,,,,,,,,,
"Aug 10, 1988",-0.179,-0.13,,,,,,,,,
"Aug 26, 1988",-0.182,-0.137,,,,,,,,,
"Sep 11, 1988",-0.205,-0.142,,,,,,,,,
"Sep 13, 1988",,-0.142,,,,,,,,,
"Sep 27, 1988",-0.207,-0.142,,,,,,,,,
"Oct 13, 1988",,-0.138,,,,,,,,,
"Oct 19, 1988",,-0.136,,,,,,,,,
"Oct 29, 1988",,-0.13,,,,,,,,,
"Nov 14, 1988",-0.064,-0.118,,,,,,,,,
"Nov 25, 1988",,-0.109,,,,,,,,,
"Nov 30, 1988",,-0.104,,,,,,,,,
"Jan 1, 1989",,-0.083,,,,,,,,,
"Jan 17, 1989",-0.032,-0.076,,,,,,,,,
"Feb 2, 1989",,-0.074,,,,,,,,,
"Feb 6, 1989",,-0.074,,,,,,,,,
"Mar 6, 1989",-0.093,-0.08,,,,,,,,,
"Mar 15, 1989",,-0.083,,,,,,,,,
"Mar 22, 1989",-0.111,-0.086,,,,,,,,,
"Apr 7, 1989",-0.093,-0.092,,,,,,,,,
"Apr 20, 1989",,-0.096,,,,,,,,,
"Apr 23, 1989",-0.123,-0.098,,,,,,,,,
"May 25, 1989",-0.131,-0.106,,,,,,,,,
"May 27, 1989",,-0.106,,,,,,,,,
"Jun 10, 1989",-0.131,-0.109,,,,,,,,,
"Jul 2, 1989",,-0.114,,,,,,,,,
"Jul 28, 1989",-0.106,-0.124,,,,,,,,,
"Aug 8, 1989",,-0.128,,,,,,,,,
"Aug 13, 1989",-0.15,-0.131,,,,,,,,,
"Aug 29, 1989",-0.162,-0.137,,,,,,,,,
"Sep 13, 1989",,-0.141,,,,,,,,,
"Sep 30, 1989",-0.116,-0.142,,,,,,,,,
"Oct 16, 1989",-0.102,-0.137,,,,,,,,,
"Oct 20, 1989",,-0.135,,,,,,,,,
"Nov 1, 1989",-0.102,-0.128,,,,,,,,,
"Nov 17, 1989",,-0.115,,,,,,,,,
"Nov 25, 1989",,-0.109,,,,,,,,,
"Dec 3, 1989",-0.03,-0.102,,,,,,,,,
"Dec 19, 1989",,-0.09,,,,,,,,,
