Date,Observation,fit 1,fit 2,fit 3,fit 4,fit 5,fit 6
"Jan 1, 2000",,,,,,,
"Jan 5, 2000",-0.197,-0.193,,,,,
"Jan 29, 2000",-0.214,-0.191,,,,,
"Feb 6, 2000",,-0.19,,,,,
"Feb 6, 2000",,-0.19,,,,,
"Feb 14, 2000",-0.211,-0.19,,,,,
"Mar 14, 2000",,-0.187,,,,,
"Apr 19, 2000",,-0.182,,,,,
"Apr 26, 2000",-0.149,-0.181,,,,,
"May 12, 2000",,-0.18,,,,,
"May 26, 2000",,-0.178,,,,,
"Jun 5, 2000",,-0.178,,,,,
"Jun 13, 2000",,-0.177,,,,,
"Jul 2, 2000",,-0.176,,,,,
"Jul 31, 2000",,-0.175,,,,,
"Aug 7, 2000",,-0.176,,,,,
"Aug 8, 2000",-0.21,-0.176,,,,,
"Sep 1, 2000",,-0.176,,,,,
"Sep 9, 2000",,-0.176,,,,,
"Sep 13, 2000",,-0.176,,,,,
"Oct 11, 2000",-0.289,-0.178,,,,,
"Oct 19, 2000",,-0.178,,,,,
"Oct 19, 2000",,-0.178,,,,,
"Nov 4, 2000",,-0.178,,,,,
"Nov 25, 2000",,-0.179,,,,,
"Dec 22, 2000",,-0.179,,,,,
"Jan 1, 2001",,-0.178,,,,,
"Jan 23, 2001",,-0.177,,,,,
"Jan 31, 2001",-0.228,-0.176,,,,,
"Feb 6, 2001",,-0.176,,,,,
"Feb 16, 2001",-0.095,-0.175,,,,,
"Feb 24, 2001",,-0.174,,,,,
"Mar 12, 2001",,-0.172,,,,,
"Mar 15, 2001",,-0.172,,,,,
"Mar 28, 2001",,-0.17,,,,,
"Apr 20, 2001",,-0.168,,,,,
"May 7, 2001",,-0.166,,,,,
"May 23, 2001",,-0.164,,,,,
"May 27, 2001",,-0.164,,,,,
"Jun 16, 2001",-0.164,-0.162,,,,,
"Jun 24, 2001",,-0.162,,,,,
"Jul 2, 2001",,-0.162,,,,,
"Jul 2, 2001",,-0.162,,,,,
"Aug 8, 2001",,-0.161,,,,,
"Aug 27, 2001",-0.252,-0.161,,,,,
"Sep 4, 2001",,-0.162,,,,,
"Sep 13, 2001",,-0.162,,,,,
"Oct 6, 2001",,-0.163,,,,,
"Oct 14, 2001",,-0.163,,,,,
"Oct 20, 2001",,-0.163,,,,,
"Oct 22, 2001",,-0.164,,,,,
"Nov 7, 2001",,-0.164,,,,,
"Nov 15, 2001",,-0.164,,,,,
"Nov 23, 2001",-0.142,-0.164,,,,,
"Nov 25, 2001",,-0.164,,,,,
"Dec 25, 2001",,-0.164,,,,,
"Jan 1, 2002",,-0.164,,,,,
"Jan 10, 2002",,-0.163,,,,,
"Jan 18, 2002",,-0.163,,,,,
"Feb 6, 2002",,-0.161,,,,,
"Mar 15, 2002",,-0.158,,,,,
"Mar 15, 2002",,-0.158,,,,,
"Apr 20, 2002",,-0.153,,,,,
"May 27, 2002",,-0.149,,,,,
"Jun 3, 2002",-0.285,-0.149,,,,,
"Jun 19, 2002",,-0.148,,,,,
"Jul 2, 2002",,-0.147,,,,,
"Jul 21, 2002",-0.135,-0.147,,,,,
"Aug 6, 2002",,-0.147,,,,,
"Aug 8, 2002",,-0.147,,,,,
"Sep 7, 2002",,-0.147,,,,,
"Sep 13, 2002",,-0.147,,,,,
"Sep 23, 2002",-0.152,-0.148,,,,,
