Year,Original,Fitted
"1,989",-532.039,-733.653
"1,992","-1,356.086","-1,114.782"
"1,994","-1,250.801","-1,368.867"
"1,995","-1,664.634","-1,495.91"
"1,996","-1,025.788","-1,622.953"
"1,997","-1,729.305","-1,749.996"
"1,998","-2,315.396","-1,877.038"
"1,999","-1,441.083","-2,004.081"
"2,000","-2,024.982","-2,131.124"
"2,001","-2,406.977","-2,258.167"
"2,002","-1,341.251","-1,803.28"
"2,003","-1,470.773","-1,348.393"
"2,005",-492.937,-438.62
"2,006",-821.937,-462.249
"2,007",-742.412,-485.878
"2,009",-537.471,-533.136
"2,010",-694.18,-556.766
"2,011",-875.627,-580.395
"2,012",-693.422,-604.024
"2,014",-438.514,-651.283
"2,015",-702.1,-674.912
"2,016",-700.575,-698.541
"2,018",-752.839,-745.799
"2,019",-662.427,-769.429
"2,020",-651.915,-793.058
