Date,Observation,fit 1,fit 2,fit 3,fit 4,fit 5,fit 6
"Jan 1, 1985",,,,,,,
"Feb 6, 1985",,,,,,,
"Mar 15, 1985",,,,,,,
"Mar 22, 1985",,,,,,,
"Apr 20, 1985",,,,,,,
"Apr 23, 1985",,,,,,,
"May 27, 1985",,,,,,,
"Jul 2, 1985",,,,,,,
"Jul 28, 1985",,,,,,,
"Aug 8, 1985",,,,,,,
"Aug 13, 1985",,,,,,,
"Sep 13, 1985",,,,,,,
"Oct 20, 1985",,,,,,,
"Nov 25, 1985",,,,,,,
"Jan 1, 1986",,,,,,,
"Jan 4, 1986",-0.01,-0.022,,,,,
"Feb 5, 1986",-0.031,-0.022,,,,,
"Feb 6, 1986",,-0.022,,,,,
"Feb 21, 1986",-0.015,-0.021,,,,,
"Mar 9, 1986",,-0.021,,,,,
"Mar 15, 1986",,-0.021,,,,,
"Apr 20, 1986",,-0.019,,,,,
"May 27, 1986",,-0.018,,,,,
"Jul 2, 1986",,-0.018,,,,,
"Aug 8, 1986",,-0.018,,,,,
"Aug 16, 1986",,-0.018,,,,,
"Sep 1, 1986",,-0.019,,,,,
"Sep 13, 1986",,-0.019,,,,,
"Sep 17, 1986",,-0.019,,,,,
"Oct 20, 1986",,-0.021,,,,,
"Nov 4, 1986",-0.025,-0.021,,,,,
"Nov 25, 1986",,-0.022,,,,,
"Dec 22, 1986",-0.024,-0.022,,,,,
"Jan 1, 1987",,-0.022,,,,,
"Jan 23, 1987",-0.021,-0.022,,,,,
"Feb 6, 1987",,-0.022,,,,,
"Feb 8, 1987",-0.025,-0.022,,,,,
"Mar 15, 1987",,-0.021,,,,,
"Mar 28, 1987",,-0.02,,,,,
"Apr 20, 1987",,-0.019,,,,,
"May 27, 1987",,-0.018,,,,,
"Jul 2, 1987",,-0.018,,,,,
"Aug 8, 1987",,-0.018,,,,,
"Sep 13, 1987",,-0.019,,,,,
"Oct 6, 1987",,-0.02,,,,,
"Oct 20, 1987",,-0.021,,,,,
"Nov 25, 1987",,-0.022,,,,,
"Jan 1, 1988",,-0.022,,,,,
"Jan 10, 1988",-0.029,-0.022,,,,,
"Jan 26, 1988",-0.028,-0.022,,,,,
"Feb 6, 1988",,-0.022,,,,,
"Feb 11, 1988",-0.027,-0.021,,,,,
"Feb 27, 1988",-0.032,-0.021,,,,,
"Mar 14, 1988",,-0.021,,,,,
"Mar 14, 1988",,-0.021,,,,,
