Year,Original,Fitted
"1,985",-158.629,-283.998
"1,988",-307.808,-256.084
"1,989",-171.042,-246.779
"1,990",-225.63,-237.474
"1,991",-193.809,-228.17
"1,992",-149,-218.865
"1,993",-204.655,-209.56
"1,994",-216.022,-200.256
"1,995",-38.447,-190.951
"1,996",-198.555,-181.646
"1,997",-207.175,-172.341
"1,998",-214.659,-163.037
"1,999",-263.059,-153.732
"2,000",-229.376,-144.427
"2,001",-197.969,-135.122
"2,002",-200.987,-125.818
"2,003",-238.892,-116.513
"2,004",-263.899,-107.208
"2,005",-237.178,-97.903
"2,006",-206.875,-88.599
"2,007",-165.485,-79.294
"2,008",-199,-69.989
"2,009",-64.364,-60.685
"2,010",146.091,-51.38
"2,011",541.471,-42.075
"2,012",582.533,582.533
"2,013","2,837.966","1,030.019"
"2,014","2,471.431","1,477.504"
"2,015","2,946.013","1,924.989"
"2,016",657.755,"2,372.474"
"2,017",-56.032,-56.032
"2,018",-98.076,15.588
"2,019",23.589,87.208
"2,020",239.128,158.828
