Date,Observation,fit 1,fit 2,fit 3,fit 4,fit 5,fit 6
"Jan 1, 1985",,,,,,,
"Jan 29, 1985",,,,,,,
"Feb 6, 1985",,,,,,,
"Mar 15, 1985",,,,,,,
"Mar 18, 1985",,,,,,,
"Apr 19, 1985",,,,,,,
"Apr 20, 1985",,,,,,,
"May 5, 1985",,,,,,,
"May 27, 1985",,,,,,,
"Jun 22, 1985",0.624,,,,,,
"Jul 2, 1985",,0.686,,,,,
"Jul 24, 1985",0.702,0.711,,,,,
"Aug 8, 1985",,0.718,,,,,
"Aug 9, 1985",0.718,0.718,,,,,
"Sep 13, 1985",,0.706,,,,,
"Sep 26, 1985",0.711,0.7,,,,,
"Oct 20, 1985",,0.698,,,,,
"Nov 22, 1985",,0.731,,,,,
"Nov 22, 1985",,0.731,,,,,
"Nov 25, 1985",,0.735,,,,,
"Jan 1, 1986",,0.784,,,,,
"Jan 16, 1986",,0.79,,,,,
"Feb 1, 1986",,0.781,,,,,
"Feb 6, 1986",,0.775,,,,,
"Feb 17, 1986",,0.757,,,,,
"Mar 15, 1986",,0.702,,,,,
"Mar 21, 1986",,0.686,,,,,
"Mar 30, 1986",,0.667,,,,,
"Mar 30, 1986",,0.667,,,,,
"Apr 15, 1986",0.529,0.64,,,,,
"Apr 15, 1986",0.691,0.64,,,,,
"Apr 20, 1986",,0.635,,,,,
"May 1, 1986",0.576,0.627,,,,,
"May 27, 1986",,0.638,,,,,
"Jun 9, 1986",,0.655,,,,,
"Jun 18, 1986",0.67,0.669,,,,,
"Jul 2, 1986",,0.69,,,,,
"Jul 4, 1986",,0.693,,,,,
"Jul 4, 1986",,0.693,,,,,
"Jul 20, 1986",,0.712,,,,,
"Jul 27, 1986",,0.718,,,,,
"Aug 5, 1986",0.725,0.722,,,,,
"Aug 5, 1986",0.721,0.722,,,,,
"Aug 8, 1986",,0.722,,,,,
"Aug 12, 1986",,0.723,,,,,
"Aug 21, 1986",0.676,0.722,,,,,
"Aug 21, 1986",0.665,0.722,,,,,
"Sep 13, 1986",,0.711,,,,,
"Sep 13, 1986",0.739,0.71,,,,,
"Sep 29, 1986",,0.703,,,,,
"Oct 8, 1986",0.633,0.701,,,,,
"Oct 8, 1986",0.732,0.701,,,,,
"Oct 15, 1986",,0.701,,,,,
"Oct 20, 1986",,0.702,,,,,
"Oct 24, 1986",,0.704,,,,,
"Oct 31, 1986",0.663,0.709,,,,,
"Nov 25, 1986",,0.739,,,,,
"Dec 2, 1986",,0.75,,,,,
"Jan 1, 1987",,0.788,,,,,
"Jan 19, 1987",,0.793,,,,,
"Feb 6, 1987",,0.779,,,,,
"Feb 20, 1987",,0.756,,,,,
"Mar 15, 1987",,0.706,,,,,
"Apr 20, 1987",,0.639,,,,,
"Apr 25, 1987",0.617,0.634,,,,,
"May 27, 1987",,0.642,,,,,
"May 27, 1987",,0.642,,,,,
"Jul 2, 1987",,0.694,,,,,
"Aug 8, 1987",,0.727,,,,,
"Aug 31, 1987",,0.722,,,,,
"Sep 13, 1987",,0.715,,,,,
"Sep 16, 1987",,0.713,,,,,
"Oct 2, 1987",0.771,0.706,,,,,
"Oct 18, 1987",,0.706,,,,,
"Oct 20, 1987",,0.706,,,,,
"Nov 19, 1987",0.781,0.735,,,,,
"Nov 25, 1987",,0.743,,,,,
"Dec 5, 1987",,0.759,,,,,
"Jan 1, 1988",,0.792,,,,,
"Jan 6, 1988",,0.796,,,,,
"Jan 22, 1988",0.819,0.797,,,,,
"Feb 6, 1988",,0.783,,,,,
"Mar 14, 1988",,0.71,,,,,
"Apr 19, 1988",,0.643,,,,,
"May 13, 1988",0.548,0.637,,,,,
"May 26, 1988",,0.646,,,,,
"Jun 14, 1988",0.647,0.673,,,,,
"Jul 2, 1988",,0.699,,,,,
"Aug 1, 1988",0.713,0.729,,,,,
"Aug 7, 1988",,0.731,,,,,
"Sep 2, 1988",,0.725,,,,,
"Sep 10, 1988",0.709,0.72,,,,,
"Sep 13, 1988",,0.719,,,,,
"Oct 4, 1988",,0.71,,,,,
"Oct 19, 1988",,0.711,,,,,
"Oct 20, 1988",,0.711,,,,,
"Nov 5, 1988",0.757,0.723,,,,,
"Nov 25, 1988",,0.749,,,,,
"Nov 30, 1988",,0.757,,,,,
"Jan 1, 1989",,0.796,,,,,
"Jan 1, 1989",,0.797,,,,,
"Feb 2, 1989",,0.792,,,,,
"Feb 6, 1989",,0.788,,,,,
"Feb 18, 1989",0.776,0.768,,,,,
"Mar 6, 1989",,0.734,,,,,
"Mar 6, 1989",,0.734,,,,,
"Mar 13, 1989",,0.718,,,,,
"Mar 15, 1989",,0.714,,,,,
"Apr 14, 1989",,0.654,,,,,
"Apr 20, 1989",,0.647,,,,,
"Apr 23, 1989",,0.644,,,,,
"May 9, 1989",0.335,0.639,,,,,
"May 9, 1989",,0.639,,,,,
"May 16, 1989",,0.642,,,,,
"May 27, 1989",,0.65,,,,,
"Jun 26, 1989",0.703,0.694,,,,,
"Jun 26, 1989",0.673,0.694,,,,,
"Jul 2, 1989",,0.703,,,,,
"Jul 3, 1989",0.738,0.704,,,,,
"Jul 28, 1989",,0.731,,,,,
"Aug 8, 1989",,0.735,,,,,
"Aug 29, 1989",,0.731,,,,,
