Date,Observation,fit 1,fit 2,fit 3,fit 4,fit 5,fit 6
"Jan 1, 1985",,,,,,,
"Jan 29, 1985",,,,,,,
"Feb 6, 1985",,,,,,,
"Mar 15, 1985",,,,,,,
"Mar 18, 1985",,,,,,,
"Apr 19, 1985",,,,,,,
"Apr 20, 1985",,,,,,,
"May 5, 1985",,,,,,,
"May 27, 1985",,,,,,,
"Jun 22, 1985",0.72,,,,,,
"Jul 2, 1985",,0.758,,,,,
"Jul 24, 1985",0.754,0.774,,,,,
"Aug 8, 1985",,0.776,,,,,
"Aug 9, 1985",0.787,0.775,,,,,
"Sep 13, 1985",,0.762,,,,,
"Sep 26, 1985",0.74,0.752,,,,,
"Oct 20, 1985",,0.73,,,,,
"Nov 22, 1985",,0.679,,,,,
"Nov 22, 1985",,0.679,,,,,
"Nov 25, 1985",,0.674,,,,,
"Jan 1, 1986",,0.595,,,,,
"Jan 16, 1986",,0.563,,,,,
"Feb 1, 1986",,0.537,,,,,
"Feb 6, 1986",,0.531,,,,,
"Feb 17, 1986",,0.523,,,,,
"Mar 15, 1986",,0.53,,,,,
"Mar 21, 1986",,0.538,,,,,
"Mar 30, 1986",,0.553,,,,,
"Mar 30, 1986",,0.553,,,,,
"Apr 15, 1986",0.597,0.587,,,,,
"Apr 15, 1986",0.646,0.587,,,,,
"Apr 20, 1986",,0.599,,,,,
"May 1, 1986",0.615,0.627,,,,,
"May 27, 1986",,0.693,,,,,
"Jun 9, 1986",,0.722,,,,,
"Jun 18, 1986",0.731,0.739,,,,,
"Jul 2, 1986",,0.758,,,,,
"Jul 4, 1986",,0.76,,,,,
"Jul 4, 1986",,0.76,,,,,
"Jul 20, 1986",,0.772,,,,,
"Jul 27, 1986",,0.775,,,,,
"Aug 5, 1986",0.76,0.776,,,,,
"Aug 5, 1986",0.751,0.776,,,,,
"Aug 8, 1986",,0.776,,,,,
"Aug 12, 1986",,0.776,,,,,
"Aug 21, 1986",0.74,0.773,,,,,
"Aug 21, 1986",0.733,0.773,,,,,
"Sep 13, 1986",,0.762,,,,,
"Sep 13, 1986",0.8,0.762,,,,,
"Sep 29, 1986",,0.75,,,,,
"Oct 8, 1986",0.765,0.742,,,,,
"Oct 8, 1986",0.791,0.742,,,,,
"Oct 15, 1986",,0.735,,,,,
"Oct 20, 1986",,0.73,,,,,
"Oct 24, 1986",,0.725,,,,,
"Oct 31, 1986",0.752,0.716,,,,,
"Nov 25, 1986",,0.674,,,,,
"Dec 2, 1986",,0.66,,,,,
"Jan 1, 1987",,0.595,,,,,
"Jan 19, 1987",,0.558,,,,,
"Feb 6, 1987",,0.532,,,,,
"Feb 20, 1987",,0.522,,,,,
"Mar 15, 1987",,0.53,,,,,
"Apr 20, 1987",,0.599,,,,,
"Apr 25, 1987",0.689,0.612,,,,,
"May 27, 1987",,0.693,,,,,
"May 27, 1987",,0.695,,,,,
"Jul 2, 1987",,0.758,,,,,
"Aug 8, 1987",,0.776,,,,,
"Aug 31, 1987",,0.77,,,,,
"Sep 13, 1987",,0.763,,,,,
"Sep 16, 1987",,0.761,,,,,
"Oct 2, 1987",0.763,0.748,,,,,
"Oct 18, 1987",,0.732,,,,,
"Oct 20, 1987",,0.731,,,,,
"Nov 19, 1987",0.797,0.686,,,,,
"Nov 25, 1987",,0.675,,,,,
"Dec 5, 1987",,0.654,,,,,
"Jan 1, 1988",,0.596,,,,,
"Jan 6, 1988",,0.584,,,,,
"Jan 22, 1988",0.576,0.553,,,,,
"Feb 6, 1988",,0.532,,,,,
"Mar 14, 1988",,0.531,,,,,
"Apr 19, 1988",,0.6,,,,,
"May 13, 1988",0.662,0.663,,,,,
"May 26, 1988",,0.695,,,,,
"Jun 14, 1988",0.689,0.735,,,,,
"Jul 2, 1988",,0.759,,,,,
"Aug 1, 1988",0.778,0.777,,,,,
"Aug 7, 1988",,0.777,,,,,
"Sep 2, 1988",,0.769,,,,,
"Sep 10, 1988",0.716,0.764,,,,,
"Sep 13, 1988",,0.763,,,,,
"Oct 4, 1988",,0.746,,,,,
"Oct 19, 1988",,0.73,,,,,
"Oct 20, 1988",,0.729,,,,,
"Nov 5, 1988",0.673,0.708,,,,,
"Nov 25, 1988",,0.673,,,,,
"Nov 30, 1988",,0.663,,,,,
"Jan 1, 1989",,0.596,,,,,
"Jan 1, 1989",,0.595,,,,,
"Feb 2, 1989",,0.537,,,,,
"Feb 6, 1989",,0.533,,,,,
"Feb 18, 1989",0.501,0.524,,,,,
"Mar 6, 1989",,0.525,,,,,
"Mar 6, 1989",,0.525,,,,,
"Mar 13, 1989",,0.53,,,,,
"Mar 15, 1989",,0.531,,,,,
"Apr 14, 1989",,0.586,,,,,
"Apr 20, 1989",,0.6,,,,,
"Apr 23, 1989",,0.608,,,,,
"May 9, 1989",0.302,0.65,,,,,
"May 9, 1989",,0.65,,,,,
"May 16, 1989",,0.668,,,,,
"May 27, 1989",,0.694,,,,,
"Jun 26, 1989",0.78,0.752,,,,,
"Jun 26, 1989",0.772,0.752,,,,,
"Jul 2, 1989",,0.759,,,,,
"Jul 3, 1989",0.809,0.761,,,,,
"Jul 28, 1989",,0.776,,,,,
"Aug 8, 1989",,0.777,,,,,
"Aug 29, 1989",,0.772,,,,,
