Year,Original,Fitted
"1,985",698.982,718.485
"1,986",730.408,721.745
"1,988",734.709,728.265
"1,989",683.673,731.525
"1,990",787.787,734.785
"1,991",752.066,738.045
"1,992",774.93,741.305
"1,993",730.302,744.565
"1,994",756.39,747.825
"1,995",736.65,751.085
"1,996",723.824,754.345
"1,997",773.151,757.605
"1,998",715.424,760.865
"1,999",762.228,764.125
"2,000",785.391,767.384
"2,001",786.683,770.644
"2,002",386.8,386.8
"2,003",287.434,287.434
"2,004",405.243,398.68
"2,005",509.794,509.926
"2,006",619.072,621.172
"2,007",541.785,629.227
"2,008",620.377,637.282
"2,009",640.887,645.337
"2,010",604.368,653.392
"2,011",728.931,661.447
"2,012",727.434,669.501
"2,013",740.307,677.556
"2,014",603.653,685.611
"2,015",550.746,693.666
"2,016",643.857,701.721
"2,017",720.93,709.776
"2,018",733.294,717.831
"2,019",784.788,725.886
"2,020",775.112,733.941
