Year,Original,Fitted
"1,985",766.275,745.725
"1,986",754.857,748.274
"1,988",765.279,753.371
"1,989",774.194,755.92
"1,990",823.322,758.469
"1,991",593.557,761.018
"1,992",766.646,763.567
"1,993",759.968,766.115
"1,994",746.624,768.664
"1,995",767.026,771.213
"1,996",824.9,773.762
"1,997",782.75,776.311
"1,998",758.723,778.859
"1,999",779.38,781.408
"2,000",777.921,783.957
"2,001",821.75,786.506
"2,002",643.022,643.022
"2,003",620.289,655.378
"2,004",637.951,667.734
"2,005",697.825,680.091
"2,006",728.832,692.447
"2,007",703.121,704.803
"2,008",760.043,717.159
"2,009",807.566,729.515
"2,010",777.289,741.872
"2,011",798.735,754.228
"2,012",816.538,766.584
"2,013",833.333,778.94
"2,014",726.975,791.296
"2,015",740.643,803.653
"2,016",752.418,816.009
"2,017",830.389,828.365
"2,018",841.794,840.721
"2,019",853.644,853.077
"2,020",851.157,865.434
