Year,Original,Fitted
"1,985",-347.443,-274.175
"1,986",-290.51,-270.39
"1,988",-268.812,-262.819
"1,989",-364.069,-259.034
"1,990",-184.513,-255.249
"1,991",-0.982,-251.463
"1,992",-218.641,-247.678
"1,993",-284.94,-243.893
"1,994",-238.891,-240.108
"1,995",-216.988,-236.322
"1,996",-312.943,-232.537
"1,997",-182.575,-228.752
"1,998",-338.17,-224.967
"1,999",-210.614,-221.181
"2,000",-145.646,-217.396
"2,001",-209.915,-213.611
"2,002","-1,344.67","-1,344.67"
"2,003","-1,623.648","-1,258.306"
"2,004","-1,366.413","-1,171.943"
"2,005","-1,132.101","-1,085.579"
"2,006",-841.553,-999.215
"2,007","-1,087.87",-912.851
"2,008",-868.408,-826.487
"2,009",-683.555,-740.123
"2,010",-811.756,-653.759
"2,011",-408.914,-567.395
"2,012",-451.142,-481.031
"2,013",-368.722,-394.667
"2,014",-726.974,-652.46
"2,015",-872.996,-910.253
"2,016",-585.847,-749.938
"2,017",-402.327,-589.623
"2,018",-382.517,-429.308
"2,019",-229.079,-268.992
"2,020",-276.419,-108.677
