Year,Original,Fitted
"1,985",-347.443,-306.362
"1,986",-290.51,-300.819
"1,988",-268.812,-289.733
"1,989",-364.069,-284.19
"1,990",-184.513,-278.647
"1,991",-266.676,-273.104
"1,992",-232.403,-267.561
"1,993",-284.94,-262.018
"1,994",-238.891,-256.475
"1,995",-216.988,-250.932
"1,996",-312.943,-245.389
"1,997",-182.575,-239.846
"1,998",-338.17,-234.303
"1,999",-210.614,-228.76
"2,000",-145.646,-223.217
"2,001",-209.915,-217.674
"2,002","-1,344.67","-1,344.67"
"2,003","-1,623.648","-1,263.64"
"2,004","-1,366.413","-1,182.609"
"2,005","-1,132.101","-1,101.578"
"2,006",-841.553,"-1,020.547"
"2,007","-1,087.87",-939.516
"2,008",-868.408,-858.486
"2,009",-683.555,-777.455
"2,010",-811.756,-666.9
"2,011",-408.914,-556.345
"2,012",-451.142,-445.79
"2,013",-368.722,-335.235
"2,014",-726.974,-628.687
"2,015",-872.996,-922.139
"2,016",-585.847,-758.582
"2,017",-402.327,-595.026
"2,018",-382.517,-431.469
"2,019",-229.079,-267.912
"2,020",-276.419,-104.355
