Date,Observation,fit 1,fit 2,fit 3,fit 4,fit 5,fit 6
"Jan 1, 1990",,,,,,,
"Feb 6, 1990",,,,,,,
"Mar 9, 1990",,,,,,,
"Mar 9, 1990",,,,,,,
"Mar 15, 1990",,,,,,,
"Apr 20, 1990",,,,,,,
"May 3, 1990",,,,,,,
"May 12, 1990",,,,,,,
"May 27, 1990",,,,,,,
"Jun 28, 1990",0.741,0.724,,,,,
"Jul 2, 1990",,0.729,,,,,
"Jul 14, 1990",0.759,0.744,,,,,
"Jul 22, 1990",,0.752,,,,,
"Jul 30, 1990",0.757,0.758,,,,,
"Aug 8, 1990",,0.762,,,,,
"Aug 23, 1990",,0.762,,,,,
"Sep 8, 1990",0.794,0.757,,,,,
"Sep 13, 1990",,0.755,,,,,
"Sep 17, 1990",,0.753,,,,,
"Oct 20, 1990",,0.746,,,,,
"Nov 4, 1990",,0.747,,,,,
"Nov 20, 1990",,0.747,,,,,
"Nov 20, 1990",,0.747,,,,,
"Nov 25, 1990",,0.746,,,,,
"Jan 1, 1991",,0.727,,,,,
"Feb 6, 1991",,0.702,,,,,
"Mar 15, 1991",,0.688,,,,,
"Apr 4, 1991",,0.681,,,,,
"Apr 20, 1991",,0.676,,,,,
"Apr 20, 1991",,0.676,,,,,
"May 6, 1991",,0.675,,,,,
"May 22, 1991",0.623,0.681,,,,,
"May 27, 1991",,0.684,,,,,
"Jun 7, 1991",0.661,0.696,,,,,
"Jun 23, 1991",,0.717,,,,,
"Jul 2, 1991",,0.729,,,,,
"Jul 2, 1991",,0.729,,,,,
"Jul 2, 1991",,0.729,,,,,
"Jul 18, 1991",,0.749,,,,,
"Jul 18, 1991",,0.749,,,,,
"Jul 25, 1991",0.756,0.755,,,,,
"Aug 8, 1991",,0.762,,,,,
"Aug 26, 1991",,0.761,,,,,
"Sep 13, 1991",,0.755,,,,,
"Sep 27, 1991",0.746,0.749,,,,,
"Oct 20, 1991",,0.746,,,,,
"Oct 29, 1991",0.795,0.746,,,,,
"Nov 25, 1991",,0.746,,,,,
"Dec 16, 1991",,0.737,,,,,
"Jan 1, 1992",,0.727,,,,,
"Jan 1, 1992",,0.726,,,,,
"Jan 17, 1992",,0.714,,,,,
"Jan 26, 1992",,0.708,,,,,
"Jan 26, 1992",,0.708,,,,,
"Feb 6, 1992",,0.702,,,,,
"Mar 5, 1992",,0.691,,,,,
"Mar 14, 1992",,0.688,,,,,
"Mar 14, 1992",,0.688,,,,,
"Mar 21, 1992",,0.686,,,,,
"Apr 15, 1992",,0.677,,,,,
"Apr 15, 1992",,0.677,,,,,
"Apr 19, 1992",,0.676,,,,,
"May 1, 1992",,0.674,,,,,
"May 1, 1992",,0.674,,,,,
"May 8, 1992",0.669,0.675,,,,,
"May 17, 1992",0.7,0.679,,,,,
"May 17, 1992",0.658,0.679,,,,,
"May 26, 1992",,0.685,,,,,
"Jun 2, 1992",0.632,0.691,,,,,
"Jun 2, 1992",,0.691,,,,,
"Jun 9, 1992",0.676,0.699,,,,,
"Jun 18, 1992",,0.711,,,,,
"Jun 18, 1992",,0.711,,,,,
"Jul 2, 1992",,0.73,,,,,
"Jul 20, 1992",,0.752,,,,,
"Jul 20, 1992",,0.752,,,,,
"Aug 7, 1992",,0.762,,,,,
"Aug 21, 1992",,0.762,,,,,
"Aug 21, 1992",,0.762,,,,,
"Sep 6, 1992",0.744,0.757,,,,,
"Sep 13, 1992",,0.754,,,,,
"Sep 13, 1992",0.736,0.754,,,,,
"Oct 15, 1992",,0.746,,,,,
"Oct 19, 1992",,0.746,,,,,
"Oct 31, 1992",,0.747,,,,,
"Nov 9, 1992",,0.747,,,,,
"Nov 25, 1992",,0.746,,,,,
"Jan 1, 1993",,0.727,,,,,
"Jan 3, 1993",,0.725,,,,,
"Jan 19, 1993",,0.713,,,,,
"Feb 4, 1993",,0.703,,,,,
"Feb 6, 1993",,0.702,,,,,
"Feb 20, 1993",,0.696,,,,,
"Mar 8, 1993",,0.69,,,,,
"Mar 15, 1993",,0.688,,,,,
"Mar 24, 1993",,0.685,,,,,
"Apr 20, 1993",,0.676,,,,,
"May 27, 1993",,0.684,,,,,
"Jun 12, 1993",0.734,0.702,,,,,
"Jul 2, 1993",,0.729,,,,,
"Jul 14, 1993",,0.744,,,,,
"Aug 8, 1993",,0.762,,,,,
"Aug 15, 1993",0.781,0.763,,,,,
"Sep 13, 1993",,0.755,,,,,
"Sep 16, 1993",0.818,0.753,,,,,
"Oct 20, 1993",,0.746,,,,,
"Nov 25, 1993",,0.746,,,,,
"Jan 1, 1994",,0.727,,,,,
"Jan 6, 1994",,0.723,,,,,
"Jan 22, 1994",,0.711,,,,,
"Feb 6, 1994",,0.702,,,,,
"Feb 7, 1994",,0.701,,,,,
"Feb 23, 1994",,0.695,,,,,
"Mar 11, 1994",,0.689,,,,,
"Mar 15, 1994",,0.688,,,,,
"Apr 5, 1994",,0.681,,,,,
"Apr 12, 1994",,0.678,,,,,
"Apr 20, 1994",,0.676,,,,,
"Apr 21, 1994",,0.676,,,,,
"Apr 21, 1994",,0.676,,,,,
"Apr 28, 1994",0.696,0.675,,,,,
"May 7, 1994",0.629,0.675,,,,,
"May 7, 1994",,0.675,,,,,
"May 23, 1994",,0.682,,,,,
"May 27, 1994",,0.684,,,,,
"Jun 15, 1994",,0.706,,,,,
"Jun 24, 1994",,0.718,,,,,
"Jul 2, 1994",,0.729,,,,,
"Jul 17, 1994",,0.748,,,,,
"Jul 26, 1994",,0.756,,,,,
"Aug 8, 1994",,0.762,,,,,
"Aug 11, 1994",,0.763,,,,,
"Aug 11, 1994",,0.763,,,,,
"Sep 3, 1994",,0.759,,,,,
"Sep 12, 1994",0.76,0.755,,,,,
"Sep 12, 1994",0.756,0.755,,,,,
"Sep 13, 1994",,0.755,,,,,
"Sep 19, 1994",,0.752,,,,,
"Oct 14, 1994",0.689,0.746,,,,,
"Oct 20, 1994",,0.746,,,,,
"Nov 25, 1994",,0.746,,,,,
"Jan 1, 1995",,0.727,,,,,
"Jan 9, 1995",,0.72,,,,,
"Jan 18, 1995",,0.714,,,,,
"Jan 25, 1995",,0.709,,,,,
"Feb 3, 1995",,0.704,,,,,
"Feb 3, 1995",,0.704,,,,,
"Feb 6, 1995",,0.702,,,,,
"Feb 10, 1995",,0.7,,,,,
"Feb 19, 1995",,0.696,,,,,
"Feb 26, 1995",,0.694,,,,,
"Mar 7, 1995",,0.691,,,,,
"Mar 15, 1995",,0.688,,,,,
"Mar 30, 1995",,0.683,,,,,
"Apr 8, 1995",,0.68,,,,,
"Apr 8, 1995",,0.68,,,,,
"Apr 20, 1995",,0.676,,,,,
"Apr 24, 1995",0.646,0.675,,,,,
"Apr 24, 1995",0.66,0.675,,,,,
"May 1, 1995",,0.674,,,,,
"May 10, 1995",,0.676,,,,,
"May 10, 1995",,0.676,,,,,
"May 17, 1995",,0.678,,,,,
"May 27, 1995",,0.684,,,,,
"Jun 2, 1995",0.637,0.69,,,,,
"Jun 18, 1995",,0.71,,,,,
"Jun 27, 1995",0.714,0.722,,,,,
"Jun 27, 1995",0.711,0.722,,,,,
"Jul 2, 1995",,0.729,,,,,
"Jul 4, 1995",0.74,0.732,,,,,
"Jul 13, 1995",0.77,0.743,,,,,
"Jul 20, 1995",,0.751,,,,,
"Aug 5, 1995",0.753,0.761,,,,,
"Aug 8, 1995",,0.762,,,,,
"Aug 14, 1995",0.767,0.763,,,,,
"Aug 14, 1995",0.723,0.763,,,,,
"Aug 21, 1995",0.765,0.763,,,,,
"Aug 30, 1995",,0.76,,,,,
"Sep 6, 1995",0.739,0.758,,,,,
"Sep 13, 1995",,0.755,,,,,
"Sep 15, 1995",,0.754,,,,,
"Sep 15, 1995",,0.754,,,,,
"Oct 1, 1995",0.802,0.748,,,,,
"Oct 1, 1995",0.768,0.748,,,,,
"Oct 20, 1995",,0.746,,,,,
"Oct 24, 1995",0.754,0.746,,,,,
"Nov 9, 1995",0.76,0.747,,,,,
"Nov 25, 1995",,0.746,,,,,
"Nov 25, 1995",,0.746,,,,,
"Dec 11, 1995",,0.74,,,,,
"Jan 1, 1996",,0.727,,,,,
"Feb 6, 1996",,0.702,,,,,
"Feb 29, 1996",,0.693,,,,,
"Mar 14, 1996",,0.688,,,,,
"Mar 16, 1996",,0.687,,,,,
"Apr 1, 1996",,0.682,,,,,
"Apr 19, 1996",,0.676,,,,,
"May 3, 1996",0.698,0.675,,,,,
"May 26, 1996",,0.685,,,,,
"Jun 20, 1996",,0.714,,,,,
"Jul 2, 1996",,0.73,,,,,
"Jul 22, 1996",0.723,0.753,,,,,
"Aug 7, 1996",,0.762,,,,,
"Aug 7, 1996",0.713,0.762,,,,,
"Sep 8, 1996",,0.756,,,,,
"Sep 13, 1996",,0.754,,,,,
"Oct 19, 1996",,0.746,,,,,
"Oct 26, 1996",0.776,0.746,,,,,
"Nov 11, 1996",,0.747,,,,,
"Nov 25, 1996",,0.746,,,,,
"Jan 1, 1997",,0.727,,,,,
"Feb 6, 1997",,0.702,,,,,
"Mar 15, 1997",,0.688,,,,,
"Apr 20, 1997",,0.676,,,,,
"May 27, 1997",,0.684,,,,,
"Jun 23, 1997",0.716,0.717,,,,,
"Jul 2, 1997",,0.729,,,,,
"Jul 25, 1997",0.774,0.755,,,,,
"Aug 8, 1997",,0.762,,,,,
"Aug 26, 1997",0.758,0.761,,,,,
"Sep 13, 1997",,0.755,,,,,
"Sep 27, 1997",0.77,0.749,,,,,
"Oct 20, 1997",,0.746,,,,,
"Nov 25, 1997",,0.746,,,,,
"Nov 30, 1997",,0.745,,,,,
"Jan 1, 1998",,0.727,,,,,
"Jan 1, 1998",,0.726,,,,,
"Jan 17, 1998",,0.714,,,,,
"Feb 2, 1998",,0.704,,,,,
"Feb 6, 1998",,0.702,,,,,
"Mar 6, 1998",,0.691,,,,,
"Mar 15, 1998",,0.688,,,,,
"Apr 7, 1998",,0.68,,,,,
"Apr 20, 1998",,0.676,,,,,
"Apr 23, 1998",,0.675,,,,,
"May 27, 1998",,0.684,,,,,
"Jun 10, 1998",0.708,0.699,,,,,
"Jul 2, 1998",,0.729,,,,,
"Aug 8, 1998",,0.762,,,,,
"Aug 13, 1998",0.741,0.763,,,,,
"Sep 13, 1998",,0.755,,,,,
"Oct 20, 1998",,0.746,,,,,
"Nov 25, 1998",,0.746,,,,,
"Dec 3, 1998",,0.744,,,,,
"Jan 1, 1999",,0.727,,,,,
"Jan 4, 1999",,0.724,,,,,
"Jan 20, 1999",,0.712,,,,,
"Feb 6, 1999",,0.702,,,,,
"Feb 14, 1999",,0.698,,,,,
"Feb 14, 1999",,0.698,,,,,
"Feb 21, 1999",,0.696,,,,,
"Mar 2, 1999",,0.692,,,,,
"Mar 9, 1999",,0.69,,,,,
"Mar 15, 1999",,0.688,,,,,
"Apr 19, 1999",,0.676,,,,,
"Apr 20, 1999",,0.676,,,,,
"May 12, 1999",,0.676,,,,,
"May 27, 1999",,0.684,,,,,
"May 28, 1999",0.706,0.686,,,,,
"Jun 13, 1999",0.762,0.703,,,,,
"Jul 2, 1999",,0.729,,,,,
"Jul 7, 1999",,0.736,,,,,
"Jul 15, 1999",0.757,0.746,,,,,
"Jul 23, 1999",0.751,0.753,,,,,
"Jul 24, 1999",,0.754,,,,,
"Jul 31, 1999",0.771,0.759,,,,,
"Aug 8, 1999",,0.762,,,,,
"Aug 9, 1999",,0.762,,,,,
"Aug 9, 1999",,0.762,,,,,
"Aug 16, 1999",0.788,0.763,,,,,
"Aug 24, 1999",0.812,0.762,,,,,
"Aug 25, 1999",0.681,0.762,,,,,
"Sep 1, 1999",0.775,0.76,,,,,
"Sep 9, 1999",0.773,0.756,,,,,
"Sep 13, 1999",,0.755,,,,,
"Oct 3, 1999",,0.748,,,,,
"Oct 11, 1999",0.599,0.746,,,,,
"Oct 12, 1999",0.722,0.746,,,,,
"Oct 19, 1999",0.771,0.746,,,,,
"Oct 20, 1999",,0.746,,,,,
"Oct 28, 1999",,0.746,,,,,
"Oct 28, 1999",,0.746,,,,,
"Nov 12, 1999",,0.747,,,,,
"Nov 20, 1999",,0.747,,,,,
"Nov 25, 1999",,0.746,,,,,
"Nov 28, 1999",,0.745,,,,,
"Dec 14, 1999",,0.739,,,,,
"Dec 22, 1999",,0.734,,,,,
"Dec 30, 1999",,0.728,,,,,
"Dec 31, 1999",,0.727,,,,,
"Jan 1, 2000",,0.727,,,,,
"Jan 15, 2000",,0.716,,,,,
