Date,Observation,fit 1,fit 2,fit 3,fit 4,fit 5,fit 6
"Jan 1, 1990",,,,,,,
"Feb 6, 1990",,,,,,,
"Mar 9, 1990",,,,,,,
"Mar 9, 1990",,,,,,,
"Mar 15, 1990",,,,,,,
"Apr 20, 1990",,,,,,,
"May 3, 1990",,,,,,,
"May 12, 1990",,,,,,,
"May 27, 1990",,,,,,,
"Jun 28, 1990",0.776,0.734,,,,,
"Jul 2, 1990",,0.74,,,,,
"Jul 14, 1990",0.774,0.754,,,,,
"Jul 22, 1990",,0.758,,,,,
"Jul 30, 1990",0.805,0.757,,,,,
"Aug 8, 1990",,0.754,,,,,
"Aug 23, 1990",,0.742,,,,,
"Sep 8, 1990",0.82,0.73,,,,,
"Sep 13, 1990",,0.727,,,,,
"Sep 17, 1990",,0.725,,,,,
"Oct 20, 1990",,0.72,,,,,
"Nov 4, 1990",,0.719,,,,,
"Nov 20, 1990",,0.716,,,,,
"Nov 20, 1990",,0.716,,,,,
"Nov 25, 1990",,0.715,,,,,
"Jan 1, 1991",,0.715,,,,,
"Feb 6, 1991",,0.724,,,,,
"Mar 15, 1991",,0.686,,,,,
"Apr 4, 1991",,0.651,,,,,
"Apr 20, 1991",,0.634,,,,,
"Apr 20, 1991",,0.634,,,,,
"May 6, 1991",,0.636,,,,,
"May 22, 1991",0.742,0.659,,,,,
"May 27, 1991",,0.668,,,,,
"Jun 7, 1991",0.76,0.694,,,,,
"Jun 23, 1991",,0.73,,,,,
"Jul 2, 1991",,0.746,,,,,
"Jul 2, 1991",,0.746,,,,,
"Jul 2, 1991",,0.746,,,,,
"Jul 18, 1991",,0.762,,,,,
"Jul 18, 1991",,0.762,,,,,
"Jul 25, 1991",0.79,0.764,,,,,
"Aug 8, 1991",,0.759,,,,,
"Aug 26, 1991",,0.745,,,,,
"Sep 13, 1991",,0.733,,,,,
"Sep 27, 1991",0.664,0.728,,,,,
"Oct 20, 1991",,0.726,,,,,
"Oct 29, 1991",0.695,0.726,,,,,
"Nov 25, 1991",,0.721,,,,,
"Dec 16, 1991",,0.718,,,,,
"Jan 1, 1992",,0.721,,,,,
"Jan 1, 1992",,0.721,,,,,
"Jan 17, 1992",,0.727,,,,,
"Jan 26, 1992",,0.729,,,,,
"Jan 26, 1992",,0.729,,,,,
"Feb 6, 1992",,0.73,,,,,
"Mar 5, 1992",,0.706,,,,,
"Mar 14, 1992",,0.692,,,,,
"Mar 14, 1992",,0.691,,,,,
"Mar 21, 1992",,0.679,,,,,
"Apr 15, 1992",,0.642,,,,,
"Apr 15, 1992",,0.642,,,,,
"Apr 19, 1992",,0.639,,,,,
"May 1, 1992",,0.639,,,,,
"May 1, 1992",,0.639,,,,,
"May 8, 1992",0.54,0.644,,,,,
"May 17, 1992",0.55,0.657,,,,,
"May 17, 1992",0.52,0.657,,,,,
"May 26, 1992",,0.674,,,,,
"Jun 2, 1992",0.424,0.691,,,,,
"Jun 2, 1992",,0.691,,,,,
"Jun 9, 1992",0.565,0.707,,,,,
"Jun 18, 1992",,0.728,,,,,
"Jun 18, 1992",,0.728,,,,,
"Jul 2, 1992",,0.753,,,,,
"Jul 20, 1992",,0.769,,,,,
"Jul 20, 1992",,0.769,,,,,
"Aug 7, 1992",,0.765,,,,,
"Aug 21, 1992",,0.754,,,,,
"Aug 21, 1992",,0.754,,,,,
"Sep 6, 1992",0.72,0.742,,,,,
"Sep 13, 1992",,0.739,,,,,
"Sep 13, 1992",0.692,0.738,,,,,
"Oct 15, 1992",,0.732,,,,,
"Oct 19, 1992",,0.732,,,,,
"Oct 31, 1992",,0.731,,,,,
"Nov 9, 1992",,0.73,,,,,
"Nov 25, 1992",,0.726,,,,,
"Jan 1, 1993",,0.727,,,,,
"Jan 3, 1993",,0.728,,,,,
"Jan 19, 1993",,0.733,,,,,
"Feb 4, 1993",,0.736,,,,,
"Feb 6, 1993",,0.735,,,,,
"Feb 20, 1993",,0.728,,,,,
"Mar 8, 1993",,0.709,,,,,
"Mar 15, 1993",,0.698,,,,,
"Mar 24, 1993",,0.681,,,,,
"Apr 20, 1993",,0.645,,,,,
"May 27, 1993",,0.679,,,,,
"Jun 12, 1993",0.757,0.718,,,,,
"Jul 2, 1993",,0.758,,,,,
"Jul 14, 1993",,0.771,,,,,
"Aug 8, 1993",,0.771,,,,,
"Aug 15, 1993",0.764,0.766,,,,,
"Sep 13, 1993",,0.745,,,,,
"Sep 16, 1993",0.779,0.743,,,,,
"Oct 20, 1993",,0.738,,,,,
"Nov 25, 1993",,0.732,,,,,
"Jan 1, 1994",,0.732,,,,,
"Jan 6, 1994",,0.734,,,,,
"Jan 22, 1994",,0.74,,,,,
"Feb 6, 1994",,0.741,,,,,
"Feb 7, 1994",,0.741,,,,,
"Feb 23, 1994",,0.731,,,,,
"Mar 11, 1994",,0.709,,,,,
"Mar 15, 1994",,0.704,,,,,
"Apr 5, 1994",,0.666,,,,,
"Apr 12, 1994",,0.657,,,,,
"Apr 20, 1994",,0.651,,,,,
"Apr 21, 1994",,0.65,,,,,
"Apr 21, 1994",,0.65,,,,,
"Apr 28, 1994",0.66,0.649,,,,,
"May 7, 1994",0.65,0.654,,,,,
"May 7, 1994",,0.654,,,,,
"May 23, 1994",,0.678,,,,,
"May 27, 1994",,0.685,,,,,
"Jun 15, 1994",,0.731,,,,,
"Jun 24, 1994",,0.75,,,,,
"Jul 2, 1994",,0.764,,,,,
"Jul 17, 1994",,0.779,,,,,
"Jul 26, 1994",,0.781,,,,,
"Aug 8, 1994",,0.777,,,,,
"Aug 11, 1994",,0.774,,,,,
"Aug 11, 1994",,0.774,,,,,
"Sep 3, 1994",,0.756,,,,,
"Sep 12, 1994",0.741,0.751,,,,,
"Sep 12, 1994",0.734,0.751,,,,,
"Sep 13, 1994",,0.75,,,,,
"Sep 19, 1994",,0.748,,,,,
"Oct 14, 1994",0.734,0.744,,,,,
"Oct 20, 1994",,0.743,,,,,
"Nov 25, 1994",,0.738,,,,,
"Jan 1, 1995",,0.738,,,,,
"Jan 9, 1995",,0.741,,,,,
"Jan 18, 1995",,0.745,,,,,
"Jan 25, 1995",,0.747,,,,,
"Feb 3, 1995",,0.747,,,,,
"Feb 3, 1995",,0.747,,,,,
"Feb 6, 1995",,0.747,,,,,
"Feb 10, 1995",,0.746,,,,,
"Feb 19, 1995",,0.741,,,,,
"Feb 26, 1995",,0.734,,,,,
"Mar 7, 1995",,0.722,,,,,
"Mar 15, 1995",,0.709,,,,,
"Mar 30, 1995",,0.682,,,,,
"Apr 8, 1995",,0.668,,,,,
"Apr 8, 1995",,0.668,,,,,
"Apr 20, 1995",,0.657,,,,,
"Apr 24, 1995",0.667,0.655,,,,,
"Apr 24, 1995",0.724,0.655,,,,,
"May 1, 1995",,0.656,,,,,
"May 10, 1995",,0.663,,,,,
"May 10, 1995",,0.663,,,,,
"May 17, 1995",,0.673,,,,,
"May 27, 1995",,0.691,,,,,
"Jun 2, 1995",0.718,0.706,,,,,
"Jun 18, 1995",,0.743,,,,,
"Jun 27, 1995",0.768,0.761,,,,,
"Jun 27, 1995",0.765,0.761,,,,,
"Jul 2, 1995",,0.769,,,,,
"Jul 4, 1995",0.765,0.772,,,,,
"Jul 13, 1995",0.772,0.782,,,,,
"Jul 20, 1995",,0.786,,,,,
"Aug 5, 1995",0.743,0.784,,,,,
"Aug 8, 1995",,0.783,,,,,
"Aug 14, 1995",0.787,0.778,,,,,
"Aug 14, 1995",0.773,0.778,,,,,
"Aug 21, 1995",0.749,0.772,,,,,
"Aug 30, 1995",,0.765,,,,,
"Sep 6, 1995",0.794,0.76,,,,,
"Sep 13, 1995",,0.756,,,,,
"Sep 15, 1995",,0.755,,,,,
"Sep 15, 1995",,0.755,,,,,
"Oct 1, 1995",0.732,0.75,,,,,
"Oct 1, 1995",0.77,0.75,,,,,
"Oct 20, 1995",,0.749,,,,,
"Oct 24, 1995",0.735,0.749,,,,,
"Nov 9, 1995",0.774,0.747,,,,,
"Nov 25, 1995",,0.744,,,,,
"Nov 25, 1995",,0.744,,,,,
"Dec 11, 1995",,0.741,,,,,
"Jan 1, 1996",,0.744,,,,,
"Feb 6, 1996",,0.753,,,,,
"Feb 29, 1996",,0.736,,,,,
"Mar 14, 1996",,0.715,,,,,
"Mar 16, 1996",,0.711,,,,,
"Apr 1, 1996",,0.683,,,,,
"Apr 19, 1996",,0.662,,,,,
"May 3, 1996",0.673,0.663,,,,,
"May 26, 1996",,0.697,,,,,
"Jun 20, 1996",,0.755,,,,,
"Jul 2, 1996",,0.776,,,,,
"Jul 22, 1996",0.816,0.792,,,,,
"Aug 7, 1996",,0.788,,,,,
"Aug 7, 1996",0.684,0.788,,,,,
"Sep 8, 1996",,0.764,,,,,
"Sep 13, 1996",,0.762,,,,,
"Oct 19, 1996",,0.755,,,,,
"Oct 26, 1996",0.765,0.755,,,,,
"Nov 11, 1996",,0.752,,,,,
"Nov 25, 1996",,0.749,,,,,
"Jan 1, 1997",,0.75,,,,,
"Feb 6, 1997",,0.759,,,,,
"Mar 15, 1997",,0.721,,,,,
"Apr 20, 1997",,0.668,,,,,
"May 27, 1997",,0.702,,,,,
"Jun 23, 1997",0.773,0.765,,,,,
"Jul 2, 1997",,0.781,,,,,
"Jul 25, 1997",0.775,0.798,,,,,
"Aug 8, 1997",,0.794,,,,,
"Aug 26, 1997",0.795,0.78,,,,,
"Sep 13, 1997",,0.768,,,,,
"Sep 27, 1997",0.788,0.763,,,,,
"Oct 20, 1997",,0.761,,,,,
"Nov 25, 1997",,0.755,,,,,
"Nov 30, 1997",,0.754,,,,,
"Jan 1, 1998",,0.756,,,,,
"Jan 1, 1998",,0.756,,,,,
"Jan 17, 1998",,0.762,,,,,
"Feb 2, 1998",,0.765,,,,,
"Feb 6, 1998",,0.764,,,,,
"Mar 6, 1998",,0.74,,,,,
"Mar 15, 1998",,0.727,,,,,
"Apr 7, 1998",,0.687,,,,,
"Apr 20, 1998",,0.674,,,,,
"Apr 23, 1998",,0.673,,,,,
"May 27, 1998",,0.708,,,,,
"Jun 10, 1998",0.749,0.742,,,,,
"Jul 2, 1998",,0.787,,,,,
"Aug 8, 1998",,0.8,,,,,
"Aug 13, 1998",0.768,0.796,,,,,
"Sep 13, 1998",,0.774,,,,,
"Oct 20, 1998",,0.767,,,,,
"Nov 25, 1998",,0.761,,,,,
"Dec 3, 1998",,0.76,,,,,
"Jan 1, 1999",,0.761,,,,,
"Jan 4, 1999",,0.763,,,,,
"Jan 20, 1999",,0.768,,,,,
"Feb 6, 1999",,0.77,,,,,
"Feb 14, 1999",,0.767,,,,,
"Feb 14, 1999",,0.767,,,,,
"Feb 21, 1999",,0.762,,,,,
"Mar 2, 1999",,0.752,,,,,
"Mar 9, 1999",,0.742,,,,,
"Mar 15, 1999",,0.733,,,,,
"Apr 19, 1999",,0.68,,,,,
"Apr 20, 1999",,0.68,,,,,
"May 12, 1999",,0.688,,,,,
"May 27, 1999",,0.714,,,,,
"May 28, 1999",0.724,0.717,,,,,
"Jun 13, 1999",0.798,0.755,,,,,
"Jul 2, 1999",,0.792,,,,,
"Jul 7, 1999",,0.799,,,,,
"Jul 15, 1999",0.79,0.807,,,,,
"Jul 23, 1999",0.855,0.81,,,,,
"Jul 24, 1999",,0.81,,,,,
"Jul 31, 1999",0.778,0.809,,,,,
"Aug 8, 1999",,0.806,,,,,
"Aug 9, 1999",,0.805,,,,,
"Aug 9, 1999",,0.805,,,,,
"Aug 16, 1999",0.791,0.8,,,,,
"Aug 24, 1999",0.824,0.793,,,,,
"Aug 25, 1999",0.781,0.792,,,,,
"Sep 1, 1999",0.812,0.787,,,,,
"Sep 9, 1999",0.855,0.781,,,,,
"Sep 13, 1999",,0.779,,,,,
"Oct 3, 1999",,0.773,,,,,
"Oct 11, 1999",0.689,0.773,,,,,
"Oct 12, 1999",0.763,0.773,,,,,
"Oct 19, 1999",0.854,0.772,,,,,
"Oct 20, 1999",,0.772,,,,,
"Oct 28, 1999",,0.772,,,,,
"Oct 28, 1999",,0.772,,,,,
"Nov 12, 1999",,0.77,,,,,
"Nov 20, 1999",,0.768,,,,,
"Nov 25, 1999",,0.767,,,,,
"Nov 28, 1999",,0.766,,,,,
"Dec 14, 1999",,0.764,,,,,
"Dec 22, 1999",,0.765,,,,,
"Dec 30, 1999",,0.767,,,,,
"Dec 31, 1999",,0.767,,,,,
"Jan 1, 2000",,0.767,,,,,
"Jan 15, 2000",,0.772,,,,,
