Date,Observation,fit 1,fit 2,fit 3,fit 4,fit 5,fit 6
"Jan 1, 1990",,,,,,,
"Feb 6, 1990",,,,,,,
"Mar 9, 1990",,,,,,,
"Mar 9, 1990",,,,,,,
"Mar 15, 1990",,,,,,,
"Apr 20, 1990",,,,,,,
"May 3, 1990",,,,,,,
"May 12, 1990",,,,,,,
"May 27, 1990",,,,,,,
"Jun 28, 1990",-0.027,-0.024,,,,,
"Jul 2, 1990",,-0.024,,,,,
"Jul 14, 1990",-0.025,-0.023,,,,,
"Jul 22, 1990",,-0.022,,,,,
"Jul 30, 1990",-0.023,-0.022,,,,,
"Aug 8, 1990",,-0.021,,,,,
"Aug 23, 1990",,-0.02,,,,,
"Sep 8, 1990",-0.016,-0.02,,,,,
"Sep 13, 1990",,-0.019,,,,,
"Sep 17, 1990",,-0.019,,,,,
"Oct 20, 1990",,-0.019,,,,,
"Nov 4, 1990",,-0.02,,,,,
"Nov 20, 1990",,-0.021,,,,,
"Nov 20, 1990",,-0.021,,,,,
"Nov 25, 1990",,-0.021,,,,,
"Jan 1, 1991",,-0.024,,,,,
"Feb 6, 1991",,-0.026,,,,,
"Mar 15, 1991",,-0.028,,,,,
"Apr 4, 1991",,-0.028,,,,,
"Apr 20, 1991",,-0.028,,,,,
"Apr 20, 1991",,-0.028,,,,,
"May 6, 1991",,-0.028,,,,,
"May 22, 1991",-0.04,-0.027,,,,,
"May 27, 1991",,-0.026,,,,,
"Jun 7, 1991",-0.037,-0.026,,,,,
"Jun 23, 1991",,-0.025,,,,,
"Jul 2, 1991",,-0.024,,,,,
"Jul 2, 1991",,-0.024,,,,,
"Jul 2, 1991",,-0.024,,,,,
"Jul 18, 1991",,-0.023,,,,,
"Jul 18, 1991",,-0.023,,,,,
"Jul 25, 1991",-0.025,-0.022,,,,,
"Aug 8, 1991",,-0.021,,,,,
"Aug 26, 1991",,-0.02,,,,,
"Sep 13, 1991",,-0.019,,,,,
"Sep 27, 1991",-0.007,-0.019,,,,,
"Oct 20, 1991",,-0.019,,,,,
"Oct 29, 1991",-0.003,-0.02,,,,,
"Nov 25, 1991",,-0.021,,,,,
"Dec 16, 1991",,-0.023,,,,,
"Jan 1, 1992",,-0.024,,,,,
"Jan 1, 1992",,-0.024,,,,,
"Jan 17, 1992",,-0.025,,,,,
"Jan 26, 1992",,-0.026,,,,,
"Jan 26, 1992",,-0.026,,,,,
"Feb 6, 1992",,-0.026,,,,,
"Mar 5, 1992",,-0.028,,,,,
"Mar 14, 1992",,-0.028,,,,,
"Mar 14, 1992",,-0.028,,,,,
"Mar 21, 1992",,-0.028,,,,,
"Apr 15, 1992",,-0.028,,,,,
"Apr 15, 1992",,-0.028,,,,,
"Apr 19, 1992",,-0.028,,,,,
"May 1, 1992",,-0.028,,,,,
"May 1, 1992",,-0.028,,,,,
"May 8, 1992",-0.019,-0.027,,,,,
"May 17, 1992",-0.015,-0.027,,,,,
"May 17, 1992",-0.026,-0.027,,,,,
"May 26, 1992",,-0.026,,,,,
"Jun 2, 1992",-0.01,-0.026,,,,,
"Jun 2, 1992",,-0.026,,,,,
"Jun 9, 1992",-0.02,-0.025,,,,,
"Jun 18, 1992",,-0.025,,,,,
"Jun 18, 1992",,-0.025,,,,,
"Jul 2, 1992",,-0.024,,,,,
"Jul 20, 1992",,-0.022,,,,,
"Jul 20, 1992",,-0.022,,,,,
"Aug 7, 1992",,-0.021,,,,,
"Aug 21, 1992",,-0.02,,,,,
"Aug 21, 1992",,-0.02,,,,,
"Sep 6, 1992",-0.021,-0.02,,,,,
"Sep 13, 1992",,-0.019,,,,,
"Sep 13, 1992",-0.017,-0.019,,,,,
"Oct 15, 1992",,-0.019,,,,,
"Oct 19, 1992",,-0.019,,,,,
"Oct 31, 1992",,-0.02,,,,,
"Nov 9, 1992",,-0.02,,,,,
"Nov 25, 1992",,-0.021,,,,,
"Jan 1, 1993",,-0.024,,,,,
"Jan 3, 1993",,-0.024,,,,,
"Jan 19, 1993",,-0.025,,,,,
"Feb 4, 1993",,-0.026,,,,,
"Feb 6, 1993",,-0.026,,,,,
"Feb 20, 1993",,-0.027,,,,,
"Mar 8, 1993",,-0.028,,,,,
"Mar 15, 1993",,-0.028,,,,,
"Mar 24, 1993",,-0.028,,,,,
"Apr 20, 1993",,-0.028,,,,,
"May 27, 1993",,-0.026,,,,,
"Jun 12, 1993",-0.027,-0.025,,,,,
"Jul 2, 1993",,-0.024,,,,,
"Jul 14, 1993",,-0.023,,,,,
"Aug 8, 1993",,-0.021,,,,,
"Aug 15, 1993",-0.017,-0.021,,,,,
"Sep 13, 1993",,-0.019,,,,,
"Sep 16, 1993",-0.011,-0.019,,,,,
"Oct 20, 1993",,-0.019,,,,,
"Nov 25, 1993",,-0.021,,,,,
"Jan 1, 1994",,-0.024,,,,,
"Jan 6, 1994",,-0.024,,,,,
"Jan 22, 1994",,-0.025,,,,,
"Feb 6, 1994",,-0.026,,,,,
"Feb 7, 1994",,-0.027,,,,,
"Feb 23, 1994",,-0.027,,,,,
"Mar 11, 1994",,-0.028,,,,,
"Mar 15, 1994",,-0.028,,,,,
"Apr 5, 1994",,-0.028,,,,,
"Apr 12, 1994",,-0.028,,,,,
"Apr 20, 1994",,-0.028,,,,,
"Apr 21, 1994",,-0.028,,,,,
"Apr 21, 1994",,-0.028,,,,,
"Apr 28, 1994",-0.016,-0.028,,,,,
"May 7, 1994",-0.047,-0.028,,,,,
"May 7, 1994",,-0.028,,,,,
"May 23, 1994",,-0.027,,,,,
"May 27, 1994",,-0.026,,,,,
"Jun 15, 1994",,-0.025,,,,,
"Jun 24, 1994",,-0.024,,,,,
"Jul 2, 1994",,-0.024,,,,,
"Jul 17, 1994",,-0.023,,,,,
"Jul 26, 1994",,-0.022,,,,,
"Aug 8, 1994",,-0.021,,,,,
"Aug 11, 1994",,-0.021,,,,,
"Aug 11, 1994",,-0.021,,,,,
"Sep 3, 1994",,-0.02,,,,,
"Sep 12, 1994",-0.022,-0.019,,,,,
"Sep 12, 1994",-0.018,-0.019,,,,,
"Sep 13, 1994",,-0.019,,,,,
"Sep 19, 1994",,-0.019,,,,,
"Oct 14, 1994",-0.026,-0.019,,,,,
"Oct 20, 1994",,-0.019,,,,,
"Nov 25, 1994",,-0.021,,,,,
"Jan 1, 1995",,-0.024,,,,,
"Jan 9, 1995",,-0.024,,,,,
"Jan 18, 1995",,-0.025,,,,,
"Jan 25, 1995",,-0.026,,,,,
"Feb 3, 1995",,-0.026,,,,,
"Feb 3, 1995",,-0.026,,,,,
"Feb 6, 1995",,-0.026,,,,,
"Feb 10, 1995",,-0.027,,,,,
"Feb 19, 1995",,-0.027,,,,,
"Feb 26, 1995",,-0.028,,,,,
"Mar 7, 1995",,-0.028,,,,,
"Mar 15, 1995",,-0.028,,,,,
"Mar 30, 1995",,-0.028,,,,,
"Apr 8, 1995",,-0.028,,,,,
"Apr 8, 1995",,-0.028,,,,,
"Apr 20, 1995",,-0.028,,,,,
"Apr 24, 1995",-0.036,-0.028,,,,,
"Apr 24, 1995",-0.034,-0.028,,,,,
"May 1, 1995",,-0.028,,,,,
"May 10, 1995",,-0.027,,,,,
"May 10, 1995",,-0.027,,,,,
"May 17, 1995",,-0.027,,,,,
"May 27, 1995",,-0.026,,,,,
"Jun 2, 1995",-0.036,-0.026,,,,,
"Jun 18, 1995",,-0.025,,,,,
"Jun 27, 1995",-0.027,-0.024,,,,,
"Jun 27, 1995",-0.033,-0.024,,,,,
"Jul 2, 1995",,-0.024,,,,,
"Jul 4, 1995",-0.019,-0.024,,,,,
"Jul 13, 1995",-0.021,-0.023,,,,,
"Jul 20, 1995",,-0.022,,,,,
"Aug 5, 1995",-0.015,-0.021,,,,,
"Aug 8, 1995",,-0.021,,,,,
"Aug 14, 1995",-0.023,-0.021,,,,,
"Aug 14, 1995",-0.027,-0.021,,,,,
"Aug 21, 1995",-0.014,-0.02,,,,,
"Aug 30, 1995",,-0.02,,,,,
"Sep 6, 1995",-0.016,-0.02,,,,,
"Sep 13, 1995",,-0.019,,,,,
"Sep 15, 1995",,-0.019,,,,,
"Sep 15, 1995",,-0.019,,,,,
"Oct 1, 1995",-0.014,-0.019,,,,,
"Oct 1, 1995",-0.017,-0.019,,,,,
"Oct 20, 1995",,-0.019,,,,,
"Oct 24, 1995",-0.019,-0.02,,,,,
"Nov 9, 1995",-0.01,-0.02,,,,,
"Nov 25, 1995",,-0.021,,,,,
"Nov 25, 1995",,-0.021,,,,,
"Dec 11, 1995",,-0.022,,,,,
"Jan 1, 1996",,-0.024,,,,,
"Feb 6, 1996",,-0.026,,,,,
"Feb 29, 1996",,-0.028,,,,,
"Mar 14, 1996",,-0.028,,,,,
"Mar 16, 1996",,-0.028,,,,,
"Apr 1, 1996",,-0.028,,,,,
"Apr 19, 1996",,-0.028,,,,,
"May 3, 1996",-0.03,-0.028,,,,,
"May 26, 1996",,-0.026,,,,,
"Jun 20, 1996",,-0.025,,,,,
"Jul 2, 1996",,-0.024,,,,,
"Jul 22, 1996",-0.029,-0.022,,,,,
"Aug 7, 1996",,-0.021,,,,,
"Aug 7, 1996",-0.029,-0.021,,,,,
"Sep 8, 1996",,-0.02,,,,,
"Sep 13, 1996",,-0.019,,,,,
"Oct 19, 1996",,-0.019,,,,,
"Oct 26, 1996",-0.017,-0.02,,,,,
"Nov 11, 1996",,-0.02,,,,,
"Nov 25, 1996",,-0.021,,,,,
"Jan 1, 1997",,-0.024,,,,,
"Feb 6, 1997",,-0.026,,,,,
"Mar 15, 1997",,-0.028,,,,,
"Apr 20, 1997",,-0.028,,,,,
"May 27, 1997",,-0.026,,,,,
"Jun 23, 1997",-0.028,-0.025,,,,,
"Jul 2, 1997",,-0.024,,,,,
"Jul 25, 1997",-0.017,-0.022,,,,,
"Aug 8, 1997",,-0.021,,,,,
"Aug 26, 1997",-0.021,-0.02,,,,,
"Sep 13, 1997",,-0.019,,,,,
"Sep 27, 1997",-0.017,-0.019,,,,,
"Oct 20, 1997",,-0.019,,,,,
"Nov 25, 1997",,-0.021,,,,,
"Nov 30, 1997",,-0.021,,,,,
"Jan 1, 1998",,-0.024,,,,,
"Jan 1, 1998",,-0.024,,,,,
"Jan 17, 1998",,-0.025,,,,,
"Feb 2, 1998",,-0.026,,,,,
"Feb 6, 1998",,-0.026,,,,,
"Mar 6, 1998",,-0.028,,,,,
"Mar 15, 1998",,-0.028,,,,,
"Apr 7, 1998",,-0.028,,,,,
"Apr 20, 1998",,-0.028,,,,,
"Apr 23, 1998",,-0.028,,,,,
"May 27, 1998",,-0.026,,,,,
"Jun 10, 1998",-0.033,-0.025,,,,,
"Jul 2, 1998",,-0.024,,,,,
"Aug 8, 1998",,-0.021,,,,,
"Aug 13, 1998",-0.025,-0.021,,,,,
"Sep 13, 1998",,-0.019,,,,,
"Oct 20, 1998",,-0.019,,,,,
"Nov 25, 1998",,-0.021,,,,,
"Dec 3, 1998",,-0.022,,,,,
"Jan 1, 1999",,-0.024,,,,,
"Jan 4, 1999",,-0.024,,,,,
"Jan 20, 1999",,-0.025,,,,,
"Feb 6, 1999",,-0.026,,,,,
"Feb 14, 1999",,-0.027,,,,,
"Feb 14, 1999",,-0.027,,,,,
"Feb 21, 1999",,-0.027,,,,,
"Mar 2, 1999",,-0.028,,,,,
"Mar 9, 1999",,-0.028,,,,,
"Mar 15, 1999",,-0.028,,,,,
"Apr 19, 1999",,-0.028,,,,,
"Apr 20, 1999",,-0.028,,,,,
"May 12, 1999",,-0.027,,,,,
"May 27, 1999",,-0.026,,,,,
"May 28, 1999",-0.034,-0.026,,,,,
"Jun 13, 1999",-0.028,-0.025,,,,,
"Jul 2, 1999",,-0.024,,,,,
"Jul 7, 1999",,-0.023,,,,,
"Jul 15, 1999",-0.021,-0.023,,,,,
"Jul 23, 1999",-0.022,-0.022,,,,,
"Jul 24, 1999",,-0.022,,,,,
"Jul 31, 1999",-0.019,-0.022,,,,,
"Aug 8, 1999",,-0.021,,,,,
"Aug 9, 1999",,-0.021,,,,,
"Aug 9, 1999",,-0.021,,,,,
"Aug 16, 1999",-0.012,-0.021,,,,,
"Aug 24, 1999",-0.017,-0.02,,,,,
"Aug 25, 1999",-0.029,-0.02,,,,,
"Sep 1, 1999",-0.021,-0.02,,,,,
"Sep 9, 1999",-0.015,-0.02,,,,,
"Sep 13, 1999",,-0.019,,,,,
"Oct 3, 1999",,-0.019,,,,,
"Oct 11, 1999",-0.035,-0.019,,,,,
