Year,Original,Fitted
"1,990",787.787,753.955
"1,991",752.066,754.521
"1,992",774.93,755.087
"1,993",730.302,755.653
"1,994",756.39,756.219
"1,995",736.65,756.786
"1,996",723.824,757.352
"1,997",773.151,757.918
"1,998",715.424,758.484
"1,999",762.228,759.051
"2,000",785.391,759.617
"2,001",786.683,760.183
"2,002",386.8,386.8
"2,003",287.434,423.269
"2,004",405.243,459.737
"2,005",509.794,496.206
"2,006",619.072,532.674
"2,007",541.785,569.143
"2,008",620.377,605.611
"2,009",640.887,642.08
"2,010",604.368,678.548
"2,011",728.931,715.017
"2,012",727.434,712.26
"2,013",740.307,709.503
"2,014",603.653,706.746
"2,015",550.746,703.99
"2,016",643.857,701.233
"2,017",720.93,698.476
"2,018",733.294,695.719
"2,019",784.788,692.962
