Year,Original,Fitted
"1,990",823.322,730.512
"1,991",593.557,737.125
"1,992",766.646,743.737
"1,993",759.968,750.35
"1,994",746.624,756.962
"1,995",767.026,763.574
"1,996",824.9,770.187
"1,997",782.75,776.799
"1,998",758.723,783.412
"1,999",779.38,790.024
"2,000",777.921,796.637
"2,001",821.75,803.249
"2,002",643.022,643.022
"2,003",620.289,655.522
"2,004",637.951,668.022
"2,005",697.825,680.523
"2,006",728.832,693.023
"2,007",703.121,705.523
"2,008",760.043,718.023
"2,009",807.566,730.523
"2,010",777.289,743.023
"2,011",798.735,755.524
"2,012",816.538,768.024
"2,013",833.333,780.524
"2,014",726.975,793.024
"2,015",740.643,805.524
"2,016",752.418,818.024
"2,017",830.389,830.525
"2,018",841.794,843.025
"2,019",853.644,855.525
