Year,Original,Fitted
"1,990",-184.513,-173.286
"1,991",-0.982,-181.306
"1,992",-218.641,-189.326
"1,993",-284.94,-197.345
"1,994",-238.891,-205.365
"1,995",-216.988,-213.385
"1,996",-312.943,-221.405
"1,997",-182.575,-229.425
"1,998",-338.17,-237.445
"1,999",-210.614,-245.465
"2,000",-145.646,-253.484
"2,001",-209.915,-261.504
"2,002","-1,344.67","-1,344.67"
"2,003","-1,623.648","-1,258.306"
"2,004","-1,366.413","-1,171.943"
"2,005","-1,132.101","-1,085.579"
"2,006",-841.553,-999.215
"2,007","-1,087.87",-912.851
"2,008",-868.408,-826.487
"2,009",-683.555,-740.123
"2,010",-811.756,-653.759
"2,011",-408.914,-567.395
"2,012",-451.142,-481.031
"2,013",-368.722,-394.667
"2,014",-726.974,-652.46
"2,015",-872.996,-910.253
"2,016",-585.847,-721.981
"2,017",-402.327,-533.709
"2,018",-382.517,-345.437
"2,019",-229.079,-157.165
