Date,Observation,fit 1,fit 2,fit 3,fit 4,fit 5,fit 6
"Jan 1, 1990",,,,,,,
"Feb 6, 1990",,,,,,,
"Mar 15, 1990",,,,,,,
"Apr 10, 1990",,,,,,,
"Apr 17, 1990",0.354,0.214,,,,,
"Apr 20, 1990",,0.216,,,,,
"May 3, 1990",,0.256,,,,,
"May 12, 1990",0.246,0.308,,,,,
"May 19, 1990",,0.357,,,,,
"May 27, 1990",,0.411,,,,,
"May 28, 1990",0.452,0.423,,,,,
"Jun 4, 1990",0.563,0.473,,,,,
"Jun 13, 1990",0.553,0.529,,,,,
"Jun 13, 1990",0.564,0.529,,,,,
"Jun 29, 1990",,0.597,,,,,
"Jul 2, 1990",,0.605,,,,,
"Jul 6, 1990",,0.614,,,,,
"Jul 15, 1990",,0.626,,,,,
"Jul 22, 1990",,0.631,,,,,
"Jul 31, 1990",0.681,0.633,,,,,
"Aug 7, 1990",0.65,0.632,,,,,
"Aug 8, 1990",,0.632,,,,,
"Aug 16, 1990",0.647,0.63,,,,,
"Sep 1, 1990",0.65,0.616,,,,,
"Sep 8, 1990",0.55,0.603,,,,,
"Sep 13, 1990",,0.59,,,,,
"Sep 17, 1990",0.628,0.577,,,,,
"Sep 24, 1990",,0.547,,,,,
"Oct 10, 1990",0.378,0.45,,,,,
"Oct 20, 1990",,0.38,,,,,
"Oct 26, 1990",0.518,0.328,,,,,
"Nov 4, 1990",,0.264,,,,,
"Nov 11, 1990",0.442,0.223,,,,,
"Nov 25, 1990",,0.18,,,,,
"Dec 6, 1990",,0.191,,,,,
"Dec 13, 1990",,0.219,,,,,
"Dec 22, 1990",,0.275,,,,,
"Jan 1, 1991",,0.349,,,,,
"Jan 23, 1991",,0.513,,,,,
"Feb 6, 1991",,0.551,,,,,
"Feb 8, 1991",,0.55,,,,,
"Feb 15, 1991",,0.538,,,,,
"Feb 24, 1991",,0.499,,,,,
"Mar 12, 1991",,0.389,,,,,
"Mar 15, 1991",,0.371,,,,,
"Mar 19, 1991",,0.336,,,,,
"Apr 4, 1991",0.542,0.242,,,,,
"Apr 13, 1991",0.292,0.218,,,,,
"Apr 13, 1991",0.293,0.218,,,,,
"Apr 20, 1991",,0.218,,,,,
"Apr 20, 1991",0.254,0.218,,,,,
"May 15, 1991",0.459,0.331,,,,,
"May 22, 1991",,0.381,,,,,
"May 27, 1991",,0.413,,,,,
"May 31, 1991",,0.447,,,,,
"Jun 7, 1991",,0.495,,,,,
"Jun 16, 1991",0.616,0.547,,,,,
"Jun 23, 1991",,0.578,,,,,
"Jul 2, 1991",,0.607,,,,,
"Jul 9, 1991",,0.621,,,,,
"Jul 18, 1991",,0.631,,,,,
"Jul 25, 1991",,0.634,,,,,
"Aug 8, 1991",,0.634,,,,,
"Aug 10, 1991",0.624,0.634,,,,,
"Aug 19, 1991",0.601,0.63,,,,,
"Sep 4, 1991",0.559,0.613,,,,,
"Sep 13, 1991",,0.593,,,,,
"Sep 20, 1991",0.467,0.567,,,,,
"Sep 27, 1991",,0.534,,,,,
"Oct 6, 1991",,0.48,,,,,
"Oct 13, 1991",,0.43,,,,,
"Oct 20, 1991",,0.382,,,,,
"Nov 7, 1991",,0.247,,,,,
"Nov 23, 1991",,0.184,,,,,
"Nov 25, 1991",,0.182,,,,,
"Nov 30, 1991",,0.182,,,,,
"Jan 1, 1992",,0.351,,,,,
"Jan 10, 1992",,0.43,,,,,
"Feb 6, 1992",,0.553,,,,,
"Feb 11, 1992",,0.549,,,,,
"Mar 14, 1992",,0.372,,,,,
"Mar 14, 1992",,0.368,,,,,
"Mar 21, 1992",,0.317,,,,,
"Mar 30, 1992",,0.262,,,,,
"Apr 6, 1992",,0.233,,,,,
"Apr 19, 1992",,0.22,,,,,
"May 1, 1992",0.287,0.256,,,,,
"May 8, 1992",0.374,0.293,,,,,
"May 26, 1992",,0.418,,,,,
"Jun 2, 1992",0.634,0.47,,,,,
"Jun 9, 1992",0.733,0.515,,,,,
"Jul 2, 1992",,0.61,,,,,
"Jul 11, 1992",,0.627,,,,,
"Jul 20, 1992",,0.635,,,,,
"Aug 5, 1992",,0.636,,,,,
"Aug 7, 1992",,0.636,,,,,
"Aug 21, 1992",0.676,0.631,,,,,
"Sep 6, 1992",0.672,0.609,,,,,
"Sep 13, 1992",,0.592,,,,,
"Sep 22, 1992",,0.556,,,,,
"Sep 29, 1992",0.531,0.519,,,,,
"Oct 8, 1992",,0.461,,,,,
"Oct 15, 1992",0.449,0.409,,,,,
"Oct 19, 1992",,0.378,,,,,
"Oct 24, 1992",,0.34,,,,,
"Oct 31, 1992",,0.288,,,,,
"Nov 25, 1992",,0.183,,,,,
"Dec 2, 1992",,0.188,,,,,
"Dec 27, 1992",,0.325,,,,,
"Jan 1, 1993",,0.354,,,,,
"Jan 19, 1993",,0.495,,,,,
"Feb 4, 1993",,0.554,,,,,
"Feb 6, 1993",,0.555,,,,,
"Feb 13, 1993",,0.548,,,,,
"Feb 20, 1993",,0.524,,,,,
"Mar 1, 1993",,0.473,,,,,
"Mar 15, 1993",,0.375,,,,,
"Mar 17, 1993",,0.355,,,,,
"Mar 24, 1993",,0.305,,,,,
"Apr 2, 1993",,0.255,,,,,
"Apr 18, 1993",,0.221,,,,,
"Apr 20, 1993",,0.222,,,,,
"Apr 25, 1993",,0.232,,,,,
"May 4, 1993",0.261,0.267,,,,,
"May 11, 1993",0.334,0.308,,,,,
"May 20, 1993",,0.37,,,,,
"May 27, 1993",,0.417,,,,,
"Jun 5, 1993",,0.486,,,,,
"Jun 12, 1993",0.619,0.529,,,,,
"Jun 21, 1993",,0.574,,,,,
"Jul 2, 1993",,0.611,,,,,
"Jul 30, 1993",0.669,0.639,,,,,
"Aug 8, 1993",,0.638,,,,,
"Aug 8, 1993",0.663,0.638,,,,,
"Aug 24, 1993",0.649,0.631,,,,,
"Aug 31, 1993",,0.624,,,,,
"Sep 13, 1993",,0.597,,,,,
"Sep 25, 1993",0.627,0.548,,,,,
"Oct 2, 1993",,0.509,,,,,
"Oct 11, 1993",0.395,0.449,,,,,
"Oct 20, 1993",,0.386,,,,,
"Oct 27, 1993",,0.327,,,,,
"Nov 12, 1993",,0.224,,,,,
"Nov 25, 1993",,0.186,,,,,
"Jan 1, 1994",,0.356,,,,,
"Jan 6, 1994",,0.402,,,,,
"Jan 15, 1994",,0.471,,,,,
"Jan 31, 1994",,0.549,,,,,
"Feb 6, 1994",,0.557,,,,,
"Feb 7, 1994",,0.557,,,,,
"Mar 4, 1994",,0.455,,,,,
"Mar 15, 1994",,0.377,,,,,
"Apr 5, 1994",,0.244,,,,,
"Apr 12, 1994",0.434,0.226,,,,,
"Apr 20, 1994",,0.224,,,,,
"Apr 21, 1994",0.184,0.226,,,,,
"Apr 28, 1994",,0.243,,,,,
"May 7, 1994",,0.286,,,,,
"May 14, 1994",,0.33,,,,,
"May 23, 1994",,0.395,,,,,
"May 27, 1994",,0.419,,,,,
"Jun 8, 1994",0.659,0.507,,,,,
"Jun 15, 1994",,0.548,,,,,
"Jun 24, 1994",,0.588,,,,,
"Jul 2, 1994",,0.613,,,,,
"Jul 10, 1994",,0.629,,,,,
"Aug 2, 1994",,0.641,,,,,
"Aug 8, 1994",,0.64,,,,,
"Aug 11, 1994",,0.64,,,,,
"Sep 3, 1994",0.561,0.621,,,,,
"Sep 13, 1994",,0.599,,,,,
"Sep 19, 1994",0.606,0.577,,,,,
"Oct 14, 1994",0.348,0.429,,,,,
"Oct 20, 1994",,0.388,,,,,
"Oct 21, 1994",0.256,0.375,,,,,
"Oct 30, 1994",0.228,0.307,,,,,
"Nov 6, 1994",0.162,0.259,,,,,
"Nov 15, 1994",0.195,0.213,,,,,
"Nov 22, 1994",,0.192,,,,,
"Nov 25, 1994",,0.188,,,,,
"Jan 1, 1995",,0.358,,,,,
"Jan 2, 1995",,0.371,,,,,
"Jan 18, 1995",,0.493,,,,,
"Jan 25, 1995",,0.531,,,,,
"Feb 6, 1995",,0.559,,,,,
"Feb 10, 1995",,0.557,,,,,
"Mar 7, 1995",,0.435,,,,,
"Mar 15, 1995",,0.38,,,,,
"Mar 30, 1995",0.253,0.274,,,,,
"Apr 8, 1995",0.222,0.237,,,,,
"Apr 15, 1995",0.151,0.225,,,,,
"Apr 20, 1995",,0.226,,,,,
"Apr 24, 1995",0.183,0.233,,,,,
"May 1, 1995",,0.257,,,,,
"May 17, 1995",0.209,0.353,,,,,
"May 26, 1995",0.326,0.419,,,,,
"May 27, 1995",,0.421,,,,,
"Jun 2, 1995",,0.469,,,,,
"Jun 11, 1995",,0.527,,,,,
"Jun 18, 1995",0.675,0.565,,,,,
"Jul 2, 1995",,0.615,,,,,
"Jul 13, 1995",0.662,0.635,,,,,
"Jul 20, 1995",0.676,0.64,,,,,
"Jul 29, 1995",0.612,0.643,,,,,
"Aug 5, 1995",,0.643,,,,,
"Aug 8, 1995",,0.642,,,,,
"Aug 14, 1995",,0.641,,,,,
"Aug 21, 1995",0.64,0.637,,,,,
"Aug 30, 1995",,0.629,,,,,
"Sep 13, 1995",,0.601,,,,,
"Oct 8, 1995",0.473,0.474,,,,,
"Oct 17, 1995",,0.408,,,,,
"Oct 20, 1995",,0.39,,,,,
"Oct 24, 1995",,0.354,,,,,
"Nov 25, 1995",,0.19,,,,,
"Jan 1, 1996",,0.36,,,,,
"Feb 6, 1996",,0.561,,,,,
"Feb 29, 1996",,0.479,,,,,
"Mar 9, 1996",,0.415,,,,,
"Mar 14, 1996",,0.38,,,,,
"Mar 25, 1996",,0.299,,,,,
"Apr 1, 1996",,0.261,,,,,
"Apr 10, 1996",,0.232,,,,,
"Apr 10, 1996",,0.232,,,,,
"Apr 17, 1996",,0.227,,,,,
"Apr 19, 1996",,0.229,,,,,
"Apr 26, 1996",,0.244,,,,,
"May 3, 1996",0.292,0.274,,,,,
"May 12, 1996",0.099,0.327,,,,,
"May 12, 1996",,0.327,,,,,
"May 26, 1996",,0.426,,,,,
"May 28, 1996",0.277,0.443,,,,,
"May 28, 1996",0.293,0.443,,,,,
"Jun 4, 1996",0.535,0.492,,,,,
"Jun 13, 1996",0.565,0.546,,,,,
"Jun 13, 1996",0.565,0.546,,,,,
"Jun 20, 1996",0.669,0.581,,,,,
"Jul 2, 1996",,0.618,,,,,
"Jul 22, 1996",0.66,0.644,,,,,
"Jul 31, 1996",0.678,0.645,,,,,
"Aug 7, 1996",,0.644,,,,,
"Aug 7, 1996",0.675,0.644,,,,,
"Aug 16, 1996",0.65,0.642,,,,,
"Aug 23, 1996",0.64,0.637,,,,,
"Sep 1, 1996",,0.627,,,,,
"Sep 8, 1996",,0.613,,,,,
"Sep 13, 1996",,0.601,,,,,
"Sep 17, 1996",,0.585,,,,,
"Sep 24, 1996",0.639,0.555,,,,,
"Oct 3, 1996",0.571,0.503,,,,,
"Oct 3, 1996",0.612,0.503,,,,,
"Oct 10, 1996",0.435,0.455,,,,,
"Oct 19, 1996",0.329,0.387,,,,,
"Oct 19, 1996",,0.386,,,,,
"Nov 4, 1996",,0.27,,,,,
"Nov 11, 1996",,0.23,,,,,
"Nov 25, 1996",,0.192,,,,,
"Jan 1, 1997",,0.362,,,,,
"Jan 7, 1997",,0.417,,,,,
"Jan 14, 1997",,0.47,,,,,
"Jan 23, 1997",,0.525,,,,,
"Feb 6, 1997",,0.563,,,,,
"Feb 8, 1997",,0.563,,,,,
"Feb 24, 1997",,0.512,,,,,
"Feb 24, 1997",,0.512,,,,,
"Mar 12, 1997",,0.401,,,,,
"Mar 12, 1997",,0.401,,,,,
"Mar 15, 1997",,0.384,,,,,
"Apr 4, 1997",,0.254,,,,,
"Apr 13, 1997",,0.231,,,,,
"Apr 20, 1997",,0.23,,,,,
"Apr 20, 1997",0.282,0.231,,,,,
"Apr 29, 1997",,0.253,,,,,
"Apr 29, 1997",0.155,0.253,,,,,
"May 6, 1997",0.13,0.286,,,,,
"May 15, 1997",,0.343,,,,,
"May 27, 1997",,0.425,,,,,
"May 31, 1997",0.314,0.459,,,,,
"May 31, 1997",0.314,0.459,,,,,
"Jun 7, 1997",,0.507,,,,,
"Jun 16, 1997",0.642,0.559,,,,,
"Jul 2, 1997",,0.619,,,,,
"Jul 9, 1997",0.635,0.634,,,,,
"Jul 18, 1997",,0.643,,,,,
"Aug 3, 1997",,0.647,,,,,
"Aug 3, 1997",0.614,0.647,,,,,
"Aug 8, 1997",,0.647,,,,,
"Aug 10, 1997",,0.646,,,,,
