Year,Original,Fitted
"1,990",649.415,617.553
"1,991",622.222,621.488
"1,992",677.487,625.423
"1,993",656.606,629.359
"1,994",574.404,633.294
"1,995",660.127,637.23
"1,996",674.677,641.165
"1,997",617.118,645.101
"1,998",637.204,649.036
"1,999",671.145,652.972
"2,000",551.899,656.907
"2,001",578.515,660.842
"2,002",598.329,664.778
"2,003",641.329,668.713
"2,004",686.55,672.649
"2,005",692.99,676.584
"2,006",645.075,680.52
"2,007",644.483,684.455
"2,008",696.028,688.39
"2,009",697.608,692.326
"2,010",723.838,696.261
"2,011",729.371,700.197
"2,012",717.296,704.132
"2,013",749.856,708.068
"2,014",745.359,712.003
"2,015",168.134,168.134
"2,016",440.785,329.851
"2,017",667.947,491.567
"2,018",660.217,653.284
"2,019",693.878,815.001
