Year,Original,Fitted
"1,990",649.415,650.51
"1,991",622.222,650.861
"1,992",677.487,651.213
"1,993",656.606,651.564
"1,994",574.404,651.916
"1,995",660.127,652.268
"1,996",674.677,652.619
"1,997",617.118,652.971
"1,998",637.204,653.323
"1,999",671.145,653.674
"2,000",551.899,551.899
"2,001",578.515,567.901
"2,002",598.329,583.903
"2,003",641.329,599.904
"2,004",686.55,615.906
"2,005",692.99,631.907
"2,006",645.075,647.909
"2,007",644.483,663.91
"2,008",696.028,679.912
"2,009",697.608,695.913
"2,010",723.838,711.915
"2,011",729.371,727.916
"2,012",717.296,743.918
"2,013",749.856,759.92
"2,014",745.359,775.921
"2,015",168.134,168.134
"2,016",440.785,422.589
"2,017",667.947,677.045
"2,018",660.217,680.412
"2,019",693.878,683.78
