Date,Observation,fit 1,fit 2,fit 3,fit 4,fit 5,fit 6
"Jan 1, 1985",,,,,,,
"Jan 9, 1985",-0.035,,,,,,
"Jan 25, 1985",,-0.032,,,,,
"Feb 6, 1985",,-0.034,,,,,
"Mar 15, 1985",,-0.043,,,,,
"Apr 20, 1985",,-0.048,,,,,
"May 1, 1985",-0.073,-0.047,,,,,
"May 27, 1985",,-0.039,,,,,
"Jun 18, 1985",,-0.03,,,,,
"Jul 2, 1985",,-0.027,,,,,
"Aug 5, 1985",,-0.027,,,,,
"Aug 8, 1985",,-0.027,,,,,
"Aug 21, 1985",,-0.029,,,,,
"Sep 6, 1985",-0.034,-0.031,,,,,
"Sep 13, 1985",,-0.031,,,,,
"Sep 22, 1985",,-0.03,,,,,
"Oct 8, 1985",-0.029,-0.029,,,,,
"Oct 20, 1985",,-0.028,,,,,
"Oct 24, 1985",-0.032,-0.027,,,,,
"Nov 9, 1985",-0.021,-0.026,,,,,
"Nov 25, 1985",,-0.025,,,,,
"Jan 1, 1986",,-0.028,,,,,
"Jan 12, 1986",-0.023,-0.03,,,,,
"Jan 28, 1986",-0.023,-0.032,,,,,
"Feb 6, 1986",,-0.034,,,,,
"Feb 13, 1986",-0.024,-0.036,,,,,
"Mar 15, 1986",,-0.043,,,,,
"Mar 17, 1986",-0.044,-0.044,,,,,
"Apr 2, 1986",,-0.048,,,,,
"Apr 18, 1986",-0.061,-0.049,,,,,
"Apr 20, 1986",,-0.048,,,,,
"May 4, 1986",-0.06,-0.046,,,,,
"May 20, 1986",-0.043,-0.041,,,,,
"May 27, 1986",,-0.039,,,,,
"Jun 5, 1986",,-0.035,,,,,
"Jun 14, 1986",,-0.032,,,,,
"Jun 21, 1986",-0.031,-0.03,,,,,
"Jul 2, 1986",,-0.027,,,,,
"Jul 23, 1986",,-0.026,,,,,
"Aug 8, 1986",,-0.027,,,,,
"Aug 8, 1986",-0.025,-0.027,,,,,
"Aug 24, 1986",-0.022,-0.029,,,,,
"Sep 13, 1986",,-0.031,,,,,
"Sep 25, 1986",-0.022,-0.03,,,,,
"Oct 20, 1986",,-0.028,,,,,
"Oct 27, 1986",-0.006,-0.027,,,,,
"Nov 25, 1986",,-0.025,,,,,
"Dec 14, 1986",-0.058,-0.026,,,,,
"Dec 30, 1986",-0.015,-0.028,,,,,
"Jan 1, 1987",,-0.028,,,,,
"Jan 31, 1987",-0.025,-0.033,,,,,
"Feb 6, 1987",,-0.034,,,,,
"Mar 4, 1987",-0.038,-0.041,,,,,
"Mar 15, 1987",,-0.043,,,,,
"Mar 20, 1987",,-0.045,,,,,
"Apr 5, 1987",-0.051,-0.048,,,,,
"Apr 20, 1987",,-0.048,,,,,
"Apr 21, 1987",,-0.048,,,,,
"May 7, 1987",,-0.046,,,,,
"May 23, 1987",,-0.04,,,,,
"May 27, 1987",,-0.039,,,,,
"Jun 8, 1987",-0.028,-0.034,,,,,
"Jun 24, 1987",,-0.029,,,,,
"Jul 2, 1987",,-0.027,,,,,
"Jul 10, 1987",,-0.026,,,,,
"Jul 26, 1987",,-0.026,,,,,
"Aug 8, 1987",,-0.027,,,,,
"Aug 27, 1987",,-0.03,,,,,
"Sep 13, 1987",,-0.031,,,,,
"Oct 14, 1987",,-0.028,,,,,
"Oct 20, 1987",,-0.028,,,,,
"Oct 30, 1987",-0.021,-0.026,,,,,
"Nov 15, 1987",,-0.025,,,,,
"Nov 25, 1987",,-0.025,,,,,
"Dec 1, 1987",-0.019,-0.026,,,,,
"Dec 17, 1987",-0.022,-0.027,,,,,
"Jan 1, 1988",,-0.028,,,,,
"Feb 6, 1988",,-0.034,,,,,
"Mar 6, 1988",-0.031,-0.041,,,,,
"Mar 14, 1988",,-0.043,,,,,
"Apr 7, 1988",,-0.048,,,,,
"Apr 19, 1988",,-0.048,,,,,
"Apr 23, 1988",,-0.048,,,,,
"May 9, 1988",,-0.045,,,,,
"May 26, 1988",,-0.039,,,,,
"Jun 26, 1988",,-0.028,,,,,
"Jul 2, 1988",,-0.027,,,,,
"Jul 28, 1988",,-0.026,,,,,
"Aug 7, 1988",,-0.027,,,,,
"Aug 13, 1988",,-0.028,,,,,
"Sep 13, 1988",,-0.031,,,,,
"Sep 14, 1988",,-0.031,,,,,
"Sep 30, 1988",-0.176,-0.03,,,,,
"Oct 16, 1988",-0.011,-0.028,,,,,
"Oct 19, 1988",,-0.027,,,,,
"Nov 17, 1988",-0.019,-0.025,,,,,
"Nov 25, 1988",,-0.025,,,,,
"Dec 3, 1988",-0.022,-0.026,,,,,
"Dec 19, 1988",-0.012,-0.027,,,,,
"Jan 1, 1989",,-0.028,,,,,
"Jan 4, 1989",-0.017,-0.029,,,,,
"Feb 6, 1989",,-0.034,,,,,
"Mar 15, 1989",,-0.043,,,,,
"Mar 25, 1989",-0.047,-0.046,,,,,
"Apr 20, 1989",,-0.049,,,,,
"Apr 26, 1989",-0.042,-0.048,,,,,
"May 12, 1989",,-0.044,,,,,
"May 27, 1989",,-0.039,,,,,
"May 28, 1989",-0.045,-0.038,,,,,
"Jun 13, 1989",-0.023,-0.032,,,,,
"Jun 29, 1989",,-0.028,,,,,
"Jul 2, 1989",,-0.027,,,,,
"Jul 31, 1989",,-0.026,,,,,
"Aug 8, 1989",,-0.027,,,,,
"Aug 16, 1989",,-0.029,,,,,
"Sep 1, 1989",,-0.03,,,,,
"Sep 13, 1989",,-0.031,,,,,
"Sep 17, 1989",,-0.031,,,,,
"Oct 3, 1989",-0.033,-0.03,,,,,
"Oct 20, 1989",,-0.028,,,,,
"Nov 20, 1989",-0.052,-0.025,,,,,
"Nov 25, 1989",,-0.025,,,,,
"Dec 22, 1989",-0.033,-0.027,,,,,
"Jan 1, 1990",,-0.028,,,,,
"Feb 6, 1990",,-0.034,,,,,
"Mar 15, 1990",,-0.043,,,,,
"Apr 13, 1990",-0.067,-0.049,,,,,
"Apr 20, 1990",,-0.049,,,,,
"Apr 29, 1990",-0.055,-0.048,,,,,
"May 15, 1990",-0.054,-0.043,,,,,
"May 27, 1990",,-0.039,,,,,
"Jul 2, 1990",,-0.027,,,,,
"Jul 2, 1990",,-0.027,,,,,
"Aug 8, 1990",,-0.027,,,,,
"Aug 19, 1990",-0.032,-0.029,,,,,
"Sep 4, 1990",,-0.031,,,,,
"Sep 13, 1990",,-0.031,,,,,
"Sep 20, 1990",,-0.031,,,,,
"Oct 6, 1990",-0.036,-0.029,,,,,
"Oct 20, 1990",,-0.028,,,,,
"Nov 7, 1990",-0.034,-0.026,,,,,
"Nov 16, 1990",,-0.025,,,,,
"Nov 25, 1990",,-0.025,,,,,
"Dec 9, 1990",-0.025,-0.026,,,,,
"Dec 25, 1990",-0.043,-0.028,,,,,
"Jan 1, 1991",,-0.028,,,,,
"Jan 26, 1991",-0.035,-0.032,,,,,
"Feb 6, 1991",,-0.034,,,,,
"Feb 11, 1991",-0.033,-0.035,,,,,
