Date,Observation,fit 1,fit 2,fit 3,fit 4,fit 5,fit 6
"Jan 1, 1990",,,,,,,
"Feb 6, 1990",,,,,,,
"Mar 15, 1990",,,,,,,
"Apr 13, 1990",0.546,0.59,,,,,
"Apr 20, 1990",,0.603,,,,,
"Apr 29, 1990",0.632,0.624,,,,,
"May 15, 1990",0.636,0.665,,,,,
"May 27, 1990",,0.689,,,,,
"Jul 2, 1990",,0.711,,,,,
"Jul 2, 1990",,0.711,,,,,
"Aug 8, 1990",,0.707,,,,,
"Aug 19, 1990",0.727,0.714,,,,,
"Sep 4, 1990",,0.726,,,,,
"Sep 13, 1990",,0.731,,,,,
"Sep 20, 1990",,0.733,,,,,
"Oct 6, 1990",0.703,0.725,,,,,
"Oct 20, 1990",,0.709,,,,,
"Nov 7, 1990",0.704,0.679,,,,,
"Nov 16, 1990",,0.666,,,,,
"Nov 25, 1990",,0.656,,,,,
"Dec 9, 1990",0.714,0.65,,,,,
"Dec 25, 1990",0.627,0.653,,,,,
"Jan 1, 1991",,0.656,,,,,
"Jan 26, 1991",0.682,0.654,,,,,
"Feb 6, 1991",,0.644,,,,,
"Feb 11, 1991",0.616,0.637,,,,,
"Feb 27, 1991",0.587,0.612,,,,,
"Mar 15, 1991",,0.592,,,,,
"Mar 15, 1991",0.551,0.592,,,,,
"Mar 31, 1991",,0.59,,,,,
"Apr 16, 1991",,0.61,,,,,
"Apr 20, 1991",,0.618,,,,,
"May 2, 1991",0.638,0.647,,,,,
"May 18, 1991",0.705,0.686,,,,,
"May 27, 1991",,0.703,,,,,
"Jun 3, 1991",,0.715,,,,,
"Jul 2, 1991",,0.726,,,,,
"Jul 5, 1991",,0.725,,,,,
"Jul 21, 1991",,0.72,,,,,
"Aug 6, 1991",,0.722,,,,,
"Aug 8, 1991",,0.722,,,,,
"Aug 22, 1991",,0.731,,,,,
"Sep 7, 1991",,0.743,,,,,
"Sep 13, 1991",,0.746,,,,,
"Sep 23, 1991",,0.747,,,,,
"Oct 9, 1991",,0.737,,,,,
"Oct 20, 1991",,0.724,,,,,
"Oct 25, 1991",,0.715,,,,,
"Nov 25, 1991",,0.671,,,,,
"Nov 26, 1991",0.673,0.67,,,,,
"Dec 12, 1991",0.637,0.665,,,,,
"Jan 1, 1992",,0.671,,,,,
"Feb 6, 1992",,0.658,,,,,
"Feb 14, 1992",0.637,0.647,,,,,
"Mar 1, 1992",0.621,0.622,,,,,
"Mar 14, 1992",,0.607,,,,,
"Mar 17, 1992",0.634,0.605,,,,,
"Apr 2, 1992",0.624,0.607,,,,,
"Apr 18, 1992",,0.631,,,,,
"Apr 19, 1992",,0.633,,,,,
"May 4, 1992",0.674,0.669,,,,,
"May 20, 1992",,0.708,,,,,
"May 26, 1992",,0.719,,,,,
"May 28, 1992",,0.723,,,,,
"Jun 5, 1992",0.723,0.733,,,,,
"Jun 21, 1992",0.718,0.742,,,,,
"Jun 29, 1992",,0.741,,,,,
"Jul 2, 1992",,0.741,,,,,
"Aug 7, 1992",,0.737,,,,,
"Aug 8, 1992",,0.738,,,,,
"Aug 24, 1992",,0.748,,,,,
"Sep 9, 1992",,0.76,,,,,
"Sep 13, 1992",,0.761,,,,,
"Oct 11, 1992",,0.749,,,,,
"Oct 19, 1992",,0.737,,,,,
"Oct 27, 1992",0.766,0.725,,,,,
"Nov 25, 1992",,0.685,,,,,
"Nov 28, 1992",,0.683,,,,,
"Jan 1, 1993",,0.686,,,,,
"Jan 15, 1993",,0.688,,,,,
"Jan 31, 1993",0.715,0.68,,,,,
"Feb 6, 1993",,0.673,,,,,
"Mar 15, 1993",,0.622,,,,,
"Mar 20, 1993",,0.619,,,,,
"Apr 20, 1993",,0.648,,,,,
"May 7, 1993",0.723,0.689,,,,,
"May 23, 1993",0.749,0.727,,,,,
"May 27, 1993",,0.733,,,,,
"Jun 8, 1993",,0.75,,,,,
"Jun 24, 1993",,0.757,,,,,
"Jul 2, 1993",,0.756,,,,,
"Jul 10, 1993",0.783,0.753,,,,,
"Aug 8, 1993",,0.752,,,,,
"Aug 11, 1993",,0.754,,,,,
"Aug 27, 1993",,0.765,,,,,
"Sep 13, 1993",,0.776,,,,,
"Sep 28, 1993",,0.775,,,,,
"Oct 14, 1993",,0.761,,,,,
"Oct 20, 1993",,0.753,,,,,
"Nov 15, 1993",0.675,0.712,,,,,
"Nov 25, 1993",,0.701,,,,,
"Dec 1, 1993",0.635,0.697,,,,,
"Jan 1, 1994",,0.7,,,,,
"Jan 2, 1994",,0.701,,,,,
"Jan 18, 1994",0.692,0.702,,,,,
"Feb 3, 1994",0.635,0.692,,,,,
"Feb 6, 1994",,0.688,,,,,
"Feb 19, 1994",0.615,0.669,,,,,
"Mar 7, 1994",0.61,,,,,,
"Mar 15, 1994",,,,,,,
"Mar 23, 1994",0.164,,,,,,
"Apr 8, 1994",0.102,,,,,,
"Apr 20, 1994",,,,,,,
"Apr 24, 1994",0.138,,,,,,
"May 26, 1994",0.168,,,,,,
"May 27, 1994",,,,,,,
"Jun 11, 1994",,,,,,,
"Jul 2, 1994",,,,,,,
"Jul 13, 1994",0.14,,,,,,
"Jul 29, 1994",0.405,,,,,,
"Aug 8, 1994",,,,,,,
"Aug 14, 1994",0.235,,,,,,
"Aug 30, 1994",,,,,,,
"Sep 13, 1994",,,,,,,
"Sep 15, 1994",0.218,,,,,,
"Oct 1, 1994",0.251,,,,,,
"Oct 17, 1994",0.304,,,,,,
"Oct 20, 1994",,,,,,,
"Nov 2, 1994",0.215,,,,,,
"Nov 18, 1994",0.187,,,,,,
"Nov 25, 1994",,,,,,,
"Dec 4, 1994",,,,,,,
"Dec 20, 1994",0.163,,,,,,
"Jan 1, 1995",,,,,,,
"Jan 5, 1995",0.045,,,,,,
"Jan 21, 1995",0.065,,,,,,
"Feb 6, 1995",,,,,,,
"Feb 6, 1995",0.056,,,,,,
"Feb 22, 1995",0.074,,,,,,
"Mar 10, 1995",-0.033,,,,,,
"Mar 15, 1995",,,,,,,
"Mar 26, 1995",0.062,,,,,,
"Apr 20, 1995",,,,,,,
"Apr 27, 1995",,,,,,,
"May 13, 1995",0.319,,,,,,
"May 27, 1995",,,,,,,
"May 29, 1995",,,,,,,
"Jun 14, 1995",0.371,,,,,,
"Jun 30, 1995",,,,,,,
"Jul 2, 1995",,,,,,,
"Jul 16, 1995",0.512,,,,,,
"Aug 1, 1995",,,,,,,
"Aug 8, 1995",,,,,,,
"Aug 17, 1995",0.503,,,,,,
"Sep 13, 1995",,,,,,,
"Sep 18, 1995",0.58,,,,,,
"Oct 20, 1995",,,,,,,
"Oct 20, 1995",,,,,,,
"Nov 21, 1995",0.123,,,,,,
"Nov 25, 1995",,,,,,,
"Dec 23, 1995",0.098,,,,,,
"Jan 1, 1996",,,,,,,
"Jan 8, 1996",0.004,,,,,,
"Feb 6, 1996",,,,,,,
"Feb 9, 1996",,,,,,,
"Feb 25, 1996",-0.037,,,,,,
"Mar 12, 1996",-0.029,,,,,,
"Mar 14, 1996",,,,,,,
"Apr 13, 1996",0.059,,,,,,
"Apr 19, 1996",,,,,,,
"Apr 29, 1996",,,,,,,
"May 15, 1996",,,,,,,
"May 26, 1996",,,,,,,
"May 31, 1996",0.103,,,,,,
"Jun 16, 1996",,,,,,,
"Jul 2, 1996",,,,,,,
"Jul 2, 1996",,,,,,,
"Jul 18, 1996",,,,,,,
"Aug 7, 1996",,,,,,,
"Aug 19, 1996",,,,,,,
"Sep 4, 1996",,,,,,,
"Sep 13, 1996",,,,,,,
"Sep 20, 1996",,,,,,,
"Oct 6, 1996",,,,,,,
"Oct 19, 1996",,,,,,,
"Oct 22, 1996",0.311,,,,,,
"Nov 7, 1996",0.174,,,,,,
"Nov 23, 1996",0.196,,,,,,
"Nov 25, 1996",,,,,,,
"Dec 9, 1996",0.118,,,,,,
"Dec 25, 1996",0.087,,,,,,
"Jan 1, 1997",,,,,,,
"Jan 10, 1997",0.077,,,,,,
"Jan 26, 1997",0.045,,0.139,,,,
"Feb 6, 1997",,,0.13,,,,
"Feb 11, 1997",,,0.128,,,,
"Feb 27, 1997",0.089,,0.134,,,,
"Mar 15, 1997",,,0.158,,,,
"Mar 15, 1997",0.232,,0.159,,,,
"Apr 16, 1997",0.322,,0.27,,,,
"Apr 20, 1997",,,0.287,,,,
"May 18, 1997",0.398,,0.413,,,,
"May 27, 1997",,,0.446,,,,
"Jun 19, 1997",,,0.515,,,,
"Jul 2, 1997",,,0.538,,,,
"Jul 5, 1997",0.617,,0.542,,,,
"Aug 8, 1997",,,0.566,,,,
"Aug 22, 1997",0.596,,0.566,,,,
"Sep 13, 1997",,,0.549,,,,
"Oct 9, 1997",,,0.491,,,,
"Oct 20, 1997",,,0.456,,,,
"Oct 25, 1997",,,0.435,,,,
"Nov 25, 1997",,,0.309,,,,
"Nov 26, 1997",0.28,,0.304,,,,
"Dec 28, 1997",0.236,,0.199,,,,
"Jan 1, 1998",,,0.19,,,,
"Feb 6, 1998",,,0.135,,,,
"Feb 14, 1998",,,0.133,,,,
"Mar 2, 1998",0.099,,0.142,,,,
"Mar 15, 1998",,,0.163,,,,
"Apr 3, 1998",,,0.222,,,,
"Apr 20, 1998",,,0.292,,,,
"May 5, 1998",0.568,,0.361,,,,
"May 27, 1998",,,0.451,,,,
"Jun 22, 1998",0.591,,0.526,,,,
"Jul 2, 1998",,,0.543,,,,
"Jul 8, 1998",,,0.551,,,,
"Jul 24, 1998",0.51,,0.565,,,,
"Aug 8, 1998",,,0.571,,,,
"Sep 13, 1998",,,0.555,,,,
"Sep 26, 1998",0.542,,0.531,,,,
"Oct 12, 1998",0.506,,0.487,,,,
"Oct 20, 1998",,,0.461,,,,
"Nov 13, 1998",,,0.363,,,,
"Nov 25, 1998",,,0.314,,,,
"Dec 31, 1998",,,0.196,,,,
"Jan 1, 1999",,,0.195,,,,
"Jan 16, 1999",0.282,,0.163,,,,
"Feb 6, 1999",,,0.14,,,,
"Feb 17, 1999",0.217,,0.138,,,,
"Mar 5, 1999",0.159,,0.151,,,,
"Mar 15, 1999",,,0.168,,,,
"Mar 21, 1999",0.2,,0.185,,,,
"Apr 6, 1999",,,0.239,,,,
"Apr 20, 1999",,,0.297,,,,
"Apr 22, 1999",0.209,,0.307,,,,
"May 8, 1999",0.299,,0.38,,,,
"May 24, 1999",,,0.447,,,,
"May 27, 1999",,,0.456,,,,
"Jun 9, 1999",0.403,,0.5,,,,
"Jul 2, 1999",,,0.548,,,,
"Jul 3, 1999",0.52,,0.55,,,,
"Jul 11, 1999",,,0.559,,,,
"Jul 19, 1999",,,0.567,,,,
"Jul 27, 1999",,,0.572,,,,
"Aug 4, 1999",0.58,,0.575,,,,
"Aug 8, 1999",,,0.576,,,,
"Aug 12, 1999",,,0.577,,,,
"Aug 20, 1999",,,0.577,,,,
"Aug 28, 1999",0.594,,0.574,,,,
"Sep 5, 1999",0.524,,0.569,,,,
"Sep 13, 1999",,,0.56,,,,
"Sep 13, 1999",,,0.56,,,,
"Sep 21, 1999",,,0.546,,,,
"Oct 7, 1999",0.479,,0.507,,,,
"Oct 20, 1999",,,0.466,,,,
"Oct 23, 1999",0.495,,,,,,
"Oct 31, 1999",,,,,,,
"Nov 8, 1999",0.494,,,,,,
"Nov 16, 1999",0.481,,,,,,
"Nov 25, 1999",,,,,,,
"Dec 2, 1999",0.42,,,,,,
"Dec 10, 1999",0.474,,,,,,
"Dec 26, 1999",0.466,,,,,,
"Jan 1, 2000",,,,,,,
"Jan 3, 2000",0.515,,,,,,
"Jan 11, 2000",0.475,,,,,,
"Jan 12, 2000",0.491,,,,,,
"Jan 27, 2000",0.463,,,,,,
"Feb 4, 2000",0.447,,,,,,
"Feb 6, 2000",,,,,,,
"Feb 12, 2000",,,,,,,
"Feb 20, 2000",0.454,,,,,,
"Feb 28, 2000",0.382,,,,,,
"Mar 7, 2000",0.377,,,,,,
"Mar 14, 2000",,,,,,,
"Mar 15, 2000",0.375,,,,,,
"Mar 31, 2000",0.471,,,,,,
"Apr 16, 2000",0.544,,,,,,
"Apr 19, 2000",,,,,,,
"Apr 24, 2000",,,,,,,
"May 2, 2000",,,,,,,
"May 10, 2000",0.631,,,,,,
"May 18, 2000",0.594,,,,,,
"May 26, 2000",,,,,,,
"May 26, 2000",0.634,,,,,,
"Jun 3, 2000",,,,,,,
"Jun 11, 2000",,,,,,,
"Jun 19, 2000",0.573,,,,,,
"Jun 27, 2000",,,,,,,
"Jul 2, 2000",,,,,,,
