Year,Original,Fitted
"1,990",730.677,738.136
"1,991",739.157,703.064
"1,992",720.167,667.992
"1,993",784.111,632.919
"1,994",232.27,597.847
"1,995",495.943,562.775
"1,996",94.04,527.703
"1,997",617.776,541.5
"1,998",589.254,555.298
"1,999",557.235,569.096
"2,000",702.571,582.893
"2,001",678.65,596.691
"2,002",715.152,610.489
"2,003",775.809,624.287
"2,004",737.418,638.084
"2,005",797.112,651.882
"2,006",791.38,665.68
"2,007",749.226,679.477
"2,008",554.797,693.275
"2,009",717.288,707.073
"2,010",799.536,720.871
"2,011",697.857,734.668
"2,012",704.857,748.466
"2,013",803.158,762.264
"2,014",758.783,776.062
"2,015",751.258,789.859
"2,016",785.395,803.657
"2,017",765.005,817.455
"2,018",781.87,831.252
"2,019",748.014,845.05
