Year,Original,Fitted
"1,990",730.677,722.331
"1,991",739.157,736.463
"1,992",720.167,750.594
"1,993",784.111,764.725
"1,994",232.27,232.27
"1,995",495.943,495.943
"1,996",94.04,510.882
"1,997",617.776,525.82
"1,998",589.254,540.758
"1,999",557.235,555.696
"2,000",702.571,570.635
"2,001",678.65,585.573
"2,002",715.152,600.511
"2,003",775.809,615.45
"2,004",737.418,630.388
"2,005",797.112,645.326
"2,006",791.38,660.265
"2,007",749.226,675.203
"2,008",554.797,690.141
"2,009",717.288,705.08
"2,010",799.536,720.018
"2,011",697.857,734.956
"2,012",704.857,749.895
"2,013",803.158,764.833
"2,014",758.783,779.771
"2,015",751.258,794.709
"2,016",785.395,809.648
"2,017",765.005,824.586
"2,018",781.87,839.524
"2,019",748.014,854.463
